Search Term,Matched Food Name,Serving Qty,Serving Size,Calories,Total Fat,Saturated,Polyunsaturated,Monounsaturated,Trans,Cholesterol,Sodium,Potassium,Total Carbs,Dietary Fiber,Sugars,Protein,Vitamin A,Vitamin C,Calcium,Iron
Flavored yogurt,flavored yogurt flavored yogurt fraise,1,"1 sachet de 25,5g",85,0.4 g,0.1 g,0 g,0 g,0 g,0 mg,0.26 mg,0 mg,2 g,0.5 g,0.9 g,18 g,0 %,0 %,0.55 %,0 %
Ice cream cone,Ice Cream Drumstick Cone,1,1 cone,290,17.94 g,9.4 g,1.36 g,6.02 g,--,17.22 mg,77.08 mg,182.04 mg,28.19 g,0.82 g,20.5 g,4.27 g,1.71 %,0 %,5.17 %,0 %
Paneer Butter Masala (restaurant style),Priya Paneer Butter Masala,1,0.333 cup (100g),240,19 g,9 g,--,--,--,--,580 mg,--,9 g,1 g,--,6 g,--,--,15 %,8 %
Dal Makhani (cream-heavy),Ashoka Delhi Dal Makhani,1,0.5 cup,170,9 g,2.5 g,--,--,0 g,0 mg,470 mg,128 mg,14 g,2 g,0 g,6 g,--,--,3 %,5.56 %
Veg Kolhapuri,Kohinoor Kolhapuri Masala,1,1 serving,170,9 g,2 g,--,--,0 g,0 mg,720 mg,--,20 g,3 g,3 g,3 g,--,--,2 %,6 %
Veg Handi,Ritz Handi-Snacks,1,1 package,100,5 g,3 g,--,--,0.1 g,10 mg,360 mg,--,12 g,0 g,2 g,2 g,--,--,--,--
Mix Veg Curry,Mixed veg Mixed  veg,1,0.666667 cup,50,0 g,--,--,--,0 g,0 mg,30 mg,--,11 g,--,--,2 g,--,--,--,--
Dum Aloo (restaurant),Sodexo Dum Aloo,1,1 cup,192,13.8 g,--,--,--,--,--,--,--,15.18 g,--,--,1.39 g,--,--,--,--
Chole (bhature style gravy),Babu's Chole Bhature Sandwich,1,1 sandwich,300,16 g,2.5 g,--,--,--,--,430 mg,--,33 g,2 g,2 g,5 g,2 %,4 %,2 %,10 %
Rajma (restaurant style),Shahi rajma Shahi rajma,1,100 g,142,6.2 g,--,--,--,--,--,--,--,16.6 g,--,--,5.5 g,--,--,--,--
Cheese Naan,Silks Naan Cheese,1,1 naan,765,20.25 g,5 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,116 g,0 g,0 g,23.25 g,0 %,0 %,0 %,0 %
Lachha Paratha,Schani Lachha paratha,1,100 gm,210,9 g,--,--,--,--,--,--,--,27 g,--,--,5 g,--,--,--,--
Veg Manchurian (gravy/dry),China's Secret Veg Manchurian Miracle Masala,1,3 tsp,10,0 g,0 g,0 g,0 g,0 g,0 mg,275 mg,0 mg,2 g,0 g,0 g,0 g,0 %,0 %,0 %,0 %
Paneer Manchurian,Inchin's Chicken Manchurian Chicken in Manchurian sauce,1,1 Cup,262,42 g,8 g,--,--,--,260 mg,"1,270 mg",--,16 g,2 g,3 g,57 g,--,--,--,--
Chilli Paneer,Riya's Chilli paneer,1,1 container,651,48 g,16.8 g,0 g,0 g,0 g,0 mg,4.2 mg,0 mg,25.2 g,3.9 g,0 g,25.5 g,0 %,0 %,0 %,0 %
Chilli Potato,"Burts Potato Chips, Thai Sweet Chilli",1,1 oz,150,8 g,1 g,--,--,0 g,0 mg,50 mg,504 mg,16 g,1 g,1 g,2 g,--,--,0.8 %,2.78 %
Schezwan Noodles,Yu Schezwan noodles,1,100 gms,355,8.9 g,1.4 g,--,--,0 g,--,729 mg,--,51.3 g,9.1 g,4.1 g,13 g,--,--,--,--
Triple Schezwan Rice,schezwan schezwan noodles chings,1,60 gram,69,1.9 g,0.9 g,--,--,0 g,--,271.7 mg,--,11.4 g,--,0 g,1.7 g,--,--,--,--
Spring Rolls,Vegetable Spring Roll,1,1 roll,148,6.22 g,0.56 g,3.19 g,2.05 g,0.12 g,11.61 mg,269.91 mg,68.68 mg,19.28 g,0.87 g,0.88 g,3.75 g,11.94 %,10.75 %,1.94 %,6.9 %
Momos (fried/steamed),Wow momos Momos,1,100 g,206,8.81 g,--,--,--,--,--,522 mg,--,23.9 g,--,2.19 g,7.92 g,--,--,--,--
McAloo Tikki Burger,chetran tofu tikki burger,1,100 gram,322,18 g,--,--,--,--,--,--,--,20 g,14 g,--,20 g,--,--,--,--
McVeggie Burger,Mcdonald's Deluxe Mcveggie,1,250 g,542,26 g,7 g,--,--,--,--,"1,190 mg",--,58 g,--,7 g,18 g,--,--,--,--
Veg Maharaja Burger,Veg burgers Veg burgers,1,100 g,197,9.1 g,1.6 g,--,--,--,--,1.2 mg,--,12 g,3.8 g,2.3 g,15 g,--,--,--,--
Veg Whopper,Whoppers Robin Eggs,1,8 pieces,180,6 g,5 g,--,--,0.1 g,5 mg,90 mg,--,33 g,0 g,30 g,1 g,--,--,4 %,2 %
Cheese Burger (veg),Carrefour Veg Veg Burger,1,100 gram,162,7.8 g,1.9 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,15 g,0 g,0 g,6 g,0 %,0 %,0 %,0 %
Margherita Pizza,Pizza Oggi Margherita Pizza,1,1 slice,140,3.5 g,2 g,--,--,0 g,10 mg,340 mg,95 mg,22 g,2 g,2 g,6 g,--,--,13 %,6 %
Farmhouse Pizza,Pizza Hut Farmhouse Pizza (Pan Base) Regular,1,1 slice,189,8.3 g,2.8 g,--,--,--,--,380 mg,--,19.9 g,--,--,9 g,--,--,--,--
Cheese Burst Pizza,Dominos Pizza (My) Cheese Burst Non-veg,1,1 reg. slice,250,7.2 g,4.1 g,--,--,--,--,500 mg,--,33.2 g,--,3 g,11.9 g,--,--,--,--
Garlic Bread,Lidl Garlic Bread,1,1 slice,150,7 g,1.5 g,3 g,1.5 g,0 g,0 mg,250 mg,--,20 g,1 g,1 g,3 g,--,--,2.6 %,8 %
French Fries (regular/large),A&W French Fries (Regular),1,4 oz,310,12 g,3 g,--,--,3.5 g,0 mg,460 mg,--,45 g,4 g,0 g,3 g,0 %,30 %,0 %,0 %
Peri Peri Fries,Mccain Peri Peri Fries (Grilled),1,100 g,259,11.1 g,1.2 g,0 g,0 g,0 g,0 mg,1.2 mg,0 mg,35.1 g,0 g,0.5 g,2.8 g,0 %,0 %,0 %,0 %
Veg Wrap,Twelve Veg wrap,1,1 wrap,468,24 g,6 g,--,--,--,--,1.55 mg,--,49 g,4.7 g,6 g,11 g,--,--,--,--
Paneer Wrap,Zippy Salsa Paneer Wrap,1,1 piece,199,4 g,4 g,0 g,0 g,0 g,--,--,--,41 g,20 g,--,22 g,--,--,--,--
Cold Coffee (with ice cream),"Cold Stone Creamery Coffee Ice Cream, Like It",1,1 Serving,340,20 g,13 g,--,--,0.5 g,80 mg,100 mg,--,36 g,0 g,31 g,4 g,--,--,--,--
Frappe,Mc Cafe Frappe,1,1 bottle,260,6 g,3.5 g,--,--,0 g,20 mg,180 mg,330 mg,46 g,0 g,45 g,6 g,--,--,--,--
Oreo Shake,"Apollo Burger Shake, Oreo",1,1 Serving,930,30 g,13 g,--,--,0 g,55 mg,660 mg,--,145 g,3 g,114 g,21 g,--,--,--,--
Brownie with Ice Cream,Breyers Brownie Cheesecake Ice Cream,1,0.67 cup,170,6 g,4.5 g,--,--,0 g,10 mg,80 mg,140 mg,26 g,0.5 g,14 g,3 g,--,--,7 %,2.78 %
Chocolate Lava Cake,"Martin Dessert Lava Cake, Chocolate",1,1 lava cake,330,18 g,6 g,--,--,0 g,100 mg,55 mg,--,39 g,2 g,29 g,5 g,--,--,--,--
Waffles (chocolate),Frozen chocolate waffle,1,1 waffle,128,4.2 g,1.236 g,0.6 g,2.156 g,--,5.6 mg,176.4 mg,60 mg,19.576 g,1.04 g,2.704 g,2.972 g,--,--,--,--
Pancakes (with syrup),Pancake syrup,1,1 tablespoon,53,0.02 g,0.004 g,0.01 g,0.006 g,--,0 mg,12.2 mg,1.2 mg,13.92 g,0 g,8.4 g,0 g,--,0 %,0.1 %,0.078 %
Ice Cream Sundae,IHOP Ice Cream Sundae,1,1 Serving,320,18 g,12 g,--,--,0 g,60 mg,80 mg,--,37 g,0 g,31 g,4 g,--,--,--,--
Thick Shake,Dunkin' Extra Thick Shake - Coffee,1,1 Size,460,19 g,12 g,--,--,1 g,70 mg,310 mg,--,55 g,1 g,51 g,18 g,--,--,--,--
Cup Noodles,Cup Noodle Medium Noodle No. 22,1,1 package,420,1.5 g,0 g,--,--,0 g,0 mg,830 mg,--,84 g,3 g,1 g,14 g,--,--,2 %,20 %
Instant Pasta (white/red sauce),"Riceland White Rice, Instant",1,0.5 cup dry,190,0 g,0 g,--,--,0 g,0 mg,5 mg,10 mg,42 g,1 g,0 g,4 g,--,--,1 %,8.33 %
Ready-to-eat Pulao,Selection Ready to eat Bologna,1,1 serving,250,20 g,7 g,--,--,0.1 g,80 mg,850 mg,500 mg,4 g,0 g,1 g,13 g,--,--,4 %,6.94 %
Ready-to-eat Dal Makhani,Dal Makhani,1,0.33 Serving(s),105,4 g,1.5 g,0.4 g,1.5 g,0 g,4 mg,200 mg,180 mg,13 g,4 g,1 g,5 g,2 %,2 %,4 %,8 %
Ready-to-eat Rajma,Kohinoor Xpress Eats Rajma Masala,1,100 gram,102,5.7 g,2 g,--,--,0.1 g,--,--,--,15 g,--,2 g,3 g,--,--,--,--
Oats (flavored packets),Quaker Apple oats Packet oats,1,33 grams,120,1.5 g,0.3 g,--,--,0 g,0 mg,150 mg,--,26 g,2 g,9 g,3 g,--,--,--,--
Parle-G,Parle-G Biscuit,1,6 biscuits,140,4 g,2 g,--,--,0 g,0 mg,90 mg,25 mg,23 g,0.5 g,7 g,2 g,--,--,0.6 %,0 %
Good Day Biscuit,Britannia Good Day Biscuits (Chocochip Cookies),1,100 g,493,21 g,7.5 g,3.7 g,9.7 g,0 g,0 mg,--,--,71 g,--,30 g,5 g,--,--,--,--
Bourbon Biscuit,Bourbon Biscuit,1,1 biscuit,68,4.8 g,1.8 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,9.3 g,0 g,4.2 g,8 g,0 %,0 %,0 %,0 %
Oreo Biscuit,Biscuit Oreo copy Biscuit,1,1 biscuit,450,20.7 g,12.6 g,--,--,--,--,--,--,61.5 g,--,--,4.6 g,--,--,--,--
Cream Biscuits (various),Various Rosinen,1,100 g,298,0.55 g,0.22 g,0.2 g,--,--,--,--,--,66.2 g,5.4 g,--,2.46 g,--,--,--,--
Toast Biscuit,Prima Toast Biscuits,1,6 toasts,130,3.5 g,2.5 g,--,--,0 g,0 mg,150 mg,--,22 g,2 g,5 g,3 g,0 %,0 %,0 %,4 %
Cupcake,Cupcakes Cupcake,1,1 cupcake,300,15 g,4.5 g,0 g,0 g,1 g,20 mg,0 mg,0 mg,34 g,0 g,28 g,2 g,0 %,0 %,2 %,6 %
Pastry (chocolate/black forest),Flings Hot Chocolate Toaster Pastries,1,1 pastry,150,4.5 g,1 g,--,--,0 g,20 mg,350 mg,166 mg,33 g,15 g,1 g,10 g,--,--,7.9 %,5.56 %
Donut,Donut Time Glazed Donuts,1,1 donut,220,12 g,5 g,--,--,0 g,0 mg,95 mg,40 mg,26 g,1 g,10 g,3 g,--,--,4 %,5.56 %
Bread (white/brown),Country white bread White Bread,1,2 slices,100,1.5 g,0 g,0.5 g,0 g,0 g,0 mg,200 mg,0 mg,18 g,1 g,1 g,3 g,10 %,0 %,10 %,6 %
Haldiram Bhujia,Haldiram Bhujia Sev,1,35 g,200,14 g,4 g,0 g,0 g,0 g,0 mg,280 mg,0 mg,15 g,2 g,1 g,4 g,0 %,0 %,2 %,9 %
Corn Puffs,Cocoa Puffs 25% Less Sugar Corn Puffs,1,1 container,220,3 g,0 g,--,--,0 g,0 mg,230 mg,190 mg,47 g,3 g,12 g,3 g,--,--,20 %,31.11 %
Popcorn (butter/caramel),Mike's Popcorn Butter Popcorn,1,2.75 cups,180,13 g,11 g,--,--,0 g,0 mg,210 mg,0 mg,14 g,3 g,0 g,2 g,--,--,0 %,2 %
Nachos,Cheese Nachos,1,1 serving,274,17.2 g,1.74 g,4.03 g,11.22 g,0.05 g,2.4 mg,250.4 mg,289.6 mg,27.93 g,2.56 g,1.74 g,3.46 g,0.34 %,1.47 %,5.04 %,3.33 %
Cheese Balls (packaged),Herr's Cheese Balls,1,48 pieces,150,9 g,2.5 g,--,--,0 g,0 mg,330 mg,50 mg,16 g,0 g,1 g,1 g,--,--,1 %,1.11 %
Coca-Cola,Coca-Cola Cola,1,1 can,140,0 g,--,--,--,--,--,25 mg,--,39 g,--,39 g,0 g,--,--,0 %,0 %
Pepsi,Pepsi Pepsi,1,1 bottle,250,0 g,--,--,--,--,--,55 mg,--,69 g,--,69 g,0 g,--,--,--,--
Thums Up,Coca-cola Thums Up,1,300 ml (1 Bottle),132,0 g,0 g,--,--,0 g,0 mg,0 mg,--,33 g,--,33 g,0 g,0 %,0 %,0 %,0 %
Sprite,Sprite Sprite Lemon Lime Soda,1,1 can,140,0 g,--,--,--,--,--,65 mg,--,38 g,--,38 g,0 g,--,--,--,--
Fanta,Fanta Orange Fanta,1,100 ml,48,0 g,0 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,11.7 g,0 g,11.7 g,0 g,0 %,0 %,0 %,0 %
Real Juice,Real Juice Pomegranate Juice,1,100 ml,60,0 g,0 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,15 g,0 g,15 g,0.1 g,0 %,0 %,0 %,0 %
Tropicana Juice,Tropicana Orange Juice,1,8 fl oz,110,0 g,0 g,--,--,0 g,0 mg,0 mg,450 mg,26 g,0 g,22 g,2 g,--,--,2 %,--
Appy Fizz,Zalm appie Zalmp appie,1,1 moot,155,8.3 g,1.1 g,--,--,--,--,--,--,0 g,--,--,20 g,--,--,--,--
Red Bull,Red Bull Red Bull.,1,250 ml,114,0 g,0 g,--,--,0 g,--,103 mg,--,27 g,0 g,--,0 g,--,--,--,--
Sting Energy Drink,sting gold energy drink,1,100 ml,69,0 g,0 g,0 g,0 g,0 g,0 mg,40.76 mg,0 mg,18 g,0 g,0 g,0 g,0 %,0 %,0 %,0 %
Packaged Lassi,Sweet Lassi Lassi,1,125 ml,80,0.2 g,0.1 g,0 g,0 g,0 g,0 mg,60 mg,200 mg,17 g,0 g,16 g,4 g,--,--,10 %,0 %
Flavored Milk,"Milk Magic Milk Flavoring Straws, Chocolate",1,1 straw,20,0 g,0 g,--,--,0 g,0 mg,0 mg,--,5 g,0 g,5 g,0 g,--,--,--,--
Cold Coffee (bottled),"Pop & Bottle Almond Milk, Cold Brew Coffee",1,11 oz,130,7 g,0 g,--,--,0 g,0 mg,40 mg,--,17 g,3 g,13 g,4 g,--,--,6 %,4 %
