Search Term,Matched Food Name,Serving Qty,Serving Size,Calories,Total Fat,Saturated,Polyunsaturated,Monounsaturated,Trans,Cholesterol,Sodium,Potassium,Total Carbs,Dietary Fiber,Sugars,Protein,Vitamin A,Vitamin C,Calcium,Iron
Almonds,Blue Diamond Almonds Almonds,1.0,28 nuts,170.0,16 g,1 g,4 g,10 g,0 g,0 mg,40 mg,194 mg,5 g,3 g,1 g,6 g,--,--,6 %,6 %
Walnuts,Chopped Walnuts,1.0,1 tbsp,49.0,4.89 g,0.46 g,3.54 g,0.67 g,--,0 mg,0.15 mg,33.08 mg,1.03 g,0.5 g,0.2 g,1.14 g,0.03 %,0.16 %,0.73 %,1.21 %
Peanuts,The Peanut Shop of Williamsburg Peanuts,1.0,2 tbsp,160.0,13 g,2 g,--,--,0 g,0 mg,40 mg,--,6 g,2 g,1 g,7 g,--,--,2 %,2 %
Pumpkin seeds,Pumpkin seeds,1.0,1 g,6.0,0.456 g,0.07 g,0.217 g,0.112 g,0 g,0 mg,0.18 mg,8.2 mg,0.152 g,--,0.011 g,0.244 g,0.025 %,0 %,0.039 %,0.556 %
Flaxseeds,Flaxseed flaxseed,1.0,100 gram,494.0,36.5 g,--,--,--,--,--,--,--,7.7 g,--,--,23 g,--,--,--,--
Cashews,Hines Cashews,1.0,1 oz,160.0,14 g,2.5 g,--,--,0 g,0 mg,85 mg,188 mg,9 g,0.5 g,1 g,5 g,--,--,0 %,10 %
Whey protein,Pure Protein Natural Whey Protein Whey Protein,1.0,1 scoop (33g),130.0,2 g,1 g,0 g,0 g,0 g,30 mg,55 mg,220 mg,5 g,1 g,3 g,23 g,0 %,0 %,12 %,3 %
Peanut butter,"Real Peanut Butter Peanut Butter, Creamy",1.0,2 tbsp,190.0,16 g,2.5 g,--,--,0 g,0 mg,65 mg,108 mg,7 g,3 g,2 g,8 g,--,--,2 %,5.56 %
Maggi noodles,Maggi Noodles,1.0,0.25 cup (46g),170.0,1 g,0 g,0 g,0 g,0 g,30 mg,350 mg,0 mg,32 g,2 g,1 g,6 g,0 %,0 %,0 %,0 %
Soya chunks,Fortune Soya Chunks Soya Chunks,1.0,20 gram,69.0,0.2 g,0.04 g,--,--,0 g,0.1 mg,21.6 mg,--,6.3 g,--,0.95 g,10.5 g,--,--,--,--
Paneer butter masala,Generic Jc Paneer Butter Masala,1.0,200 GM,487.0,43.5 g,--,--,--,--,--,--,--,12.6 g,--,--,11.7 g,--,--,--,--
Dal makhani,Generic Dal Makhani,1.0,100 g,135.0,7.6 g,--,--,--,0 g,0 mg,387 mg,--,11.6 g,4.9 g,2.8 g,5.3 g,--,--,--,--
Naan,Santosh Naan,1.0,0.5 naan,150.0,3.5 g,0.5 g,--,--,0 g,0 mg,350 mg,--,20 g,2 g,1 g,4 g,--,--,2 %,8 %
Raita,Huds Raita,1.0,1 oz,36.0,0.9 g,0.6 g,--,--,0 g,3.4 mg,40.6 mg,--,4.1 g,0 g,4 g,3 g,3 %,2 %,9 %,0 %
Pickle,McClure's Pickles Dill Pickles,1.0,1 package drained,10.0,0 g,0 g,--,--,0 g,0 mg,420 mg,0 mg,2 g,0.5 g,2 g,0 g,--,--,6 %,0 %
Dark chocolate,Eclat Chocolate Dark Chocolate,1.0,0.25 bar,77.0,6.2 g,3.8 g,--,--,0 g,0 mg,1.4 mg,--,6.9 g,1.5 g,4.2 g,1 g,--,--,0.91 %,3.5 %
Vegetable Biryani,Parampara Vegetable. Biryani,1,1 tablespoon,90,7 g,0.5 g,0 g,0 g,0 g,0 mg,0 mg,0 mg,7 g,0 g,0 g,1 g,0 %,0 %,0 %,0 %
Paneer Biryani,Kohinoor Rice Treat - Paneer Tikka Biryani,1,125 g,229,9 g,--,--,--,--,--,512 mg,--,30 g,--,--,8 g,--,--,--,--
Jeera Rice,Quikish Jeera Rice,1,150 g,387,10.41 g,2.52 g,--,--,0 g,0 mg,266.88 mg,--,57.73 g,16.09 g,10.41 g,17.98 g,--,--,--,--
Lemon Rice,Harmons lemon rice Lemon rice,1,100 g,140,5 g,--,--,--,--,--,--,--,21 g,--,--,3 g,--,--,--,--
Tamarind Rice (Puliyogare),South Indian Puliyogare,1,1 cup,233,10.5 g,--,--,--,--,--,--,--,31 g,1.9 g,--,3.3 g,--,--,--,--
Coconut Rice,Khazana Coconut Jasmine Rice,1,1 cup,260,7.4 g,6.4 g,--,--,0 g,0 mg,3.1 mg,43 mg,43.2 g,1.3 g,0.6 g,4.7 g,--,--,12.68 %,13.89 %
Tomato Rice,"Pilaf, rice with tomato, homemade",1,1 g,1,0.026 g,0.003 g,0.011 g,0.007 g,0 g,0 mg,3.26 mg,0.82 mg,0.279 g,0.007 g,0.009 g,0.029 g,0.006 %,0.05 %,0.008 %,0.037 %
Kashmiri Pulao,Haldiram's Kashmiri Mixture,1,1 cup,190,12 g,3 g,--,--,0 g,0 mg,240 mg,423.6 mg,15 g,3 g,1 g,6 g,--,--,2.14 %,8.33 %
Peas Pulao,Kabuli Pulao,1,1 cup,348,12.28 g,1.02 g,6.95 g,3.66 g,0.25 g,0 mg,764.18 mg,159.08 mg,53.81 g,1.79 g,6.77 g,5.43 g,44.87 %,1.69 %,3.71 %,3.95 %
Paneer Pulao,Kabuli Pulao,1,1 cup,348,12.28 g,1.02 g,6.95 g,3.66 g,0.25 g,0 mg,764.18 mg,159.08 mg,53.81 g,1.79 g,6.77 g,5.43 g,44.87 %,1.69 %,3.71 %,3.95 %
Khichdi (dal + rice),tuver dal khichdi tuver dal khichdi,1,1 grams,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Masala Khichdi,Surti khichdi Moong Dal Khichdi,1,1 cup,424,28 g,0 g,0 g,0 g,0 g,0 mg,200 mg,80 mg,35 g,4 g,0 g,5 g,--,--,70 %,7.7 %
Pongal,Fitfoodiy's Pongal,1,350 g,393,5.1 g,2.8 g,--,--,--,--,25 mg,180 mg,71.8 g,13.4 g,1.3 g,17.5 g,--,--,4 %,30 %
Bisibele Bath,Kesari Bath,1,1 serving,427,18.21 g,10.33 g,1.08 g,5.73 g,0 g,40.96 mg,32.71 mg,145.97 mg,61.34 g,1.99 g,28.55 g,6.13 g,9.82 %,0.29 %,1.76 %,12.2 %
Vangi Bath,bath bomb,1,1 bomb,"99,999",420 g,--,--,--,--,--,--,--,100 g,--,--,1 g,--,--,--,--
Schezwan Fried Rice (Indian style),Suhana Cuppa Schezwan Fried Rice,1,100 grams,390,7.6 g,0.9 g,--,--,--,--,--,--,71.6 g,--,6.7 g,10.5 g,--,--,--,--
Paneer Fried Rice,Generic Pan Fried Paneer,1,30 grams (5 pieces),90,7 g,--,--,--,--,25 mg,5 mg,--,1 g,0 g,--,6 g,--,--,--,--
Mushroom Pulao,Haldiram's Vegetable Pulao,1,0.5 pack,200,6 g,0.5 g,--,--,0 g,0 mg,160 mg,175 mg,34 g,1 g,0 g,3 g,--,--,3.9 %,0 %
Corn Rice,Rico Corn Rice,1,1 cup,180,0 g,0 g,0 g,0 g,0 g,0 mg,0 mg,65 mg,41 g,1 g,0 g,3 g,4 %,0 %,5 %,7 %
