source_page_number,calories_url,recipe_url,list_title
2,https://www.tarladalal.com/calories-for-Curd-Rice-South-Indian-Curd-Rice-Recipe-32893,https://www.tarladalal.com/Curd-Rice-South-Indian-Curd-Rice-Recipe-32893r,Calories In Curd Rice – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Til-Laddu-Til-Ke-Ladoo-Til-Gud-Ladoo-Recipe-5016,https://www.tarladalal.com/Til-Laddu-Til-Ke-Ladoo-Til-Gud-Ladoo-Recipe-5016r,Calories In Til Laddu – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Maharashtrian-Style-Nachni-Bhakri--Ragi-Bhakri-38627,https://www.tarladalal.com/Maharashtrian-Style-Nachni-Bhakri--Ragi-Bhakri-38627r,Calories In Maharashtrian Style Nachni Bhakri – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Maida-Tandoori-Roti-2421,https://www.tarladalal.com/Maida-Tandoori-Roti-2421r,Calories In Maida Tandoori Roti – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Sunny-Side-Up-Eggs-Breakfast-Recipe-42311,https://www.tarladalal.com/Sunny-Side-Up-Eggs-Breakfast-Recipe-42311r,Calories In Sunny Side Up Eggs – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Dahi-Vadas-Dahi-Bhalla-North-Indian-Chaat-Recipe-2816,https://www.tarladalal.com/Dahi-Vadas-Dahi-Bhalla-North-Indian-Chaat-Recipe-2816r,Calories In Dahi Vadas – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Tabbouleh-Lebanese-Tabbouleh-22587,https://www.tarladalal.com/Tabbouleh-Lebanese-Tabbouleh-22587r,Calories In Tabbouleh – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Mixed-Vegetable-Clear-Soup-4203,https://www.tarladalal.com/Mixed-Vegetable-Clear-Soup-4203r,Calories In Mixed Vegetable Clear Soup – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Healthy-Oats-Roti-Oats-Paratha-5286,https://www.tarladalal.com/Healthy-Oats-Roti-Oats-Paratha-5286r,Calories In Healthy Oats Roti – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Dal-Makhani-30900,https://www.tarladalal.com/Dal-Makhani-30900r,Calories In Dal Makhani – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Rice-Porridge-4211,https://www.tarladalal.com/Rice-Porridge-4211r,Calories In Rice Porridge – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Sambar--Sambhar-Idlis-and-Dosas-1663,https://www.tarladalal.com/Sambar--Sambhar-Idlis-and-Dosas-1663r,Calories In Sambar – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Gajar-ka-Halwa-Carrot-Halwa-4102,https://www.tarladalal.com/Gajar-ka-Halwa-Carrot-Halwa-4102r,Calories In Gajar Ka Halwa – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Potato-Sandwich-Aloo-Sandwich-On-A-Tava-Indian-Snack-41930,https://www.tarladalal.com/Potato-Sandwich-Aloo-Sandwich-On-A-Tava-Indian-Snack-41930r,Calories In Potato Sandwich – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Bhakri--Gujarati-Recipe-628,https://www.tarladalal.com/Bhakri--Gujarati-Recipe-628r,Calories In Bhakri – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Tomato-Cucumber-and-Onion-Salad-3534,https://www.tarladalal.com/Tomato-Cucumber-and-Onion-Salad-3534r,Calories In Tomato – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Lebanese-Garlic-Sauce-22579,https://www.tarladalal.com/Lebanese-Garlic-Sauce-22579r,Calories In Lebanese Garlic Sauce – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Dal-Vada-South-Indian-Chana-Dal-Vada-Masala-Vada-40197,https://www.tarladalal.com/Dal-Vada-South-Indian-Chana-Dal-Vada-Masala-Vada-40197r,Calories In Dal Vada – Nutrition Facts & Health Analysis
2,https://www.tarladalal.com/calories-for-Paneer-Sandwich-Recipe--Grilled-Paneer-Sandwich-42073,https://www.tarladalal.com/Paneer-Sandwich-Recipe--Grilled-Paneer-Sandwich-42073r,Calories In Paneer Sandwich Recipe – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Sarson-ka-Saag-Punjabi-Sarson-Ka-Saag-Recipe-32800,https://www.tarladalal.com/Sarson-ka-Saag-Punjabi-Sarson-Ka-Saag-Recipe-32800r,Calories In Sarson Ka Saag – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Ven-Pongal-South-Indian-Breakfast-32896,https://www.tarladalal.com/Ven-Pongal-South-Indian-Breakfast-32896r,Calories In Ven Pongal – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Jowar-Roti-41569,https://www.tarladalal.com/Jowar-Roti-41569r,Calories In Jowar Roti – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Chaas-Buttermilk-Recipe-Salted-Chaas-Recipe-542,https://www.tarladalal.com/Chaas-Buttermilk-Recipe-Salted-Chaas-Recipe-542r,Calories In Chaas – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Bhindi-Masala-22206,https://www.tarladalal.com/Bhindi-Masala-22206r,Calories In Bhindi Masala – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Poha-Chivda-40251,https://www.tarladalal.com/Poha-Chivda-40251r,Calories In Poha Chivda – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Rava-Chilla-Sooji-Breakfast-Chilla-42441,https://www.tarladalal.com/Rava-Chilla-Sooji-Breakfast-Chilla-42441r,Calories In Rava Chilla – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Rasmalai-Bengali-Rasmalai-Recipe-2011,https://www.tarladalal.com/Rasmalai-Bengali-Rasmalai-Recipe-2011r,Calories In Rasmalai – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Mysore-Masala-Dosa--Mumbai-Roadside-Recipe-33392,https://www.tarladalal.com/Mysore-Masala-Dosa--Mumbai-Roadside-Recipe-33392r,Calories In Mysore Masala Dosa – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Dal-Tadka-Punjabi-Dal-Tadka-30903,https://www.tarladalal.com/Dal-Tadka-Punjabi-Dal-Tadka-30903r,Calories In Dal Tadka – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Whole-Masoor-Dal-Sabut-Masoor-Dal-How-To-Make-Whole-Masoor-Dal-5293,https://www.tarladalal.com/Whole-Masoor-Dal-Sabut-Masoor-Dal-How-To-Make-Whole-Masoor-Dal-5293r,Calories In Whole Masoor Dal – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Sooji-ka-Halwa-Suji-Halwa-in-Microwave-2785,https://www.tarladalal.com/Sooji-ka-Halwa-Suji-Halwa-in-Microwave-2785r,Calories In Sooji Ka Halwa – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Paneer-Tikka-2754,https://www.tarladalal.com/Paneer-Tikka-2754r,Calories In Paneer Tikka – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Dry-Fruit-Milkshake-41868,https://www.tarladalal.com/Dry-Fruit-Milkshake-41868r,Calories In Dry Fruit Milkshake – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Gond-Ke-Ladoo-Dinkache-Ladoo-3909,https://www.tarladalal.com/Gond-Ke-Ladoo-Dinkache-Ladoo-3909r,Calories In Gond Ke Ladoo – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Aloo-Gobi-Aloo-Gobhi-Recipe-22792,https://www.tarladalal.com/Aloo-Gobi-Aloo-Gobhi-Recipe-22792r,Calories In Aloo Gobi – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Veg-Pakora-Mixed-Vegetable-Pakoda-42075,https://www.tarladalal.com/Veg-Pakora-Mixed-Vegetable-Pakoda-42075r,Calories In Veg Pakora – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Masala-Papad-1472,https://www.tarladalal.com/Masala-Papad-1472r,Calories In Masala Papad – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Dahi-Puri-2807,https://www.tarladalal.com/Dahi-Puri-2807r,Calories In Dahi Puri – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Ragi-Roti-22220,https://www.tarladalal.com/Ragi-Roti-22220r,Calories In Ragi Roti – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Mysore-Pak-2043,https://www.tarladalal.com/Mysore-Pak-2043r,Calories In Mysore Pak – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Punjabi-Kadhi-Healthy-Punjabi-Besan-Kadhi-30901,https://www.tarladalal.com/Punjabi-Kadhi-Healthy-Punjabi-Besan-Kadhi-30901r,Calories In Punjabi Kadhi – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Idli-1652,https://www.tarladalal.com/Idli-1652r,Calories In Idli – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Mixed-Sprouts-Salad-7444,https://www.tarladalal.com/Mixed-Sprouts-Salad-7444r,Calories In Mixed Sprouts Salad – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Pressure-Cooker-Veg-Pulao-Veg-Pulao-in-Pressure-Cooker-1745,https://www.tarladalal.com/Pressure-Cooker-Veg-Pulao-Veg-Pulao-in-Pressure-Cooker-1745r,Calories In Pressure Cooker Veg Pulao – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Spring-Rolls-Chinese-Veg-Spring-Roll-Recipe-313,https://www.tarladalal.com/Spring-Rolls-Chinese-Veg-Spring-Roll-Recipe-313r,Calories In Spring Rolls – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Sooji-Idli--Suji-Idli-1384,https://www.tarladalal.com/Sooji-Idli--Suji-Idli-1384r,Calories In Sooji Idli – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Puran-Poli-Maharashtrian-Puran-Poli-Recipe-37027,https://www.tarladalal.com/Puran-Poli-Maharashtrian-Puran-Poli-Recipe-37027r,Calories In Puran Poli – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Petha-2049,https://www.tarladalal.com/Petha-2049r,Calories In Petha – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Egg-Curry-Recipe-42114,https://www.tarladalal.com/Egg-Curry-Recipe-42114r,Calories In Egg Curry Recipe – Nutrition Facts & Health Analysis
3,https://www.tarladalal.com/calories-for-Khari-Biscuit-Puff-Pastry-Biscuits-2566,https://www.tarladalal.com/Khari-Biscuit-Puff-Pastry-Biscuits-2566r,Calories In Khari Biscuit – Nutrition Facts & Health Analysis
