food_name,recipe_title,recipe_url,calories_url,source_page_number,ingredient_count,ingredient_sections,serving_label,nutrient_heading,carbohydrates_value,cholesterol_value,energy_value,fat_value,fiber_value,protein_value,sodium_value
Roasted Makhana,Roasted Makhana Recipe | Healthy Snack in Minutes,https://www.tarladalal.com/roasted-makhana-41901r,https://www.tarladalal.com/calories-for-Roasted-Makhana-Roasted-Lotus-Seeds-41901,2,6,For Roasted Makhana,plate,Nutrient values (Abbrv)per plate,16.1 g,0 mg,216 Calories,15.5 g,0.0 g,3.9 g,2 mg
Multigrain Roti,Multigrain Roti Recipe (Mix 5 Flour Roti),https://www.tarladalal.com/multigrain-roti-healthy-multigrain-chapati-38746r,https://www.tarladalal.com/calories-for-Multigrain-Roti-Healthy-Multigrain-Chapati-38746,2,15,For Multigrain Roti | For Serving With Multigrain Roti,plate,Nutrient values (Abbrv)per plate,16.2 g,0 mg,104 Calories,3.3 g,2.8 g,2.7 g,6 mg
Chana Dal Fry,Chana Dal Fry Recipe (North Indian Chana Dal Tadka),https://www.tarladalal.com/chana-dal-fry-punjabi-masala-chana-dal-42370r,https://www.tarladalal.com/calories-for-Chana-Dal-Fry-Punjabi-Masala-Chana-Dal-42370,2,17,For Chana Dal Fry,serving,Nutrient values (Abbrv) per serving,25.4 g,0 mg,222 Calories,9.7 g,6.4 g,8.3 g,33 mg
Veg Puff,Veg Puff Recipe (Bakery Style Puff),https://www.tarladalal.com/veg-puff-40842r,https://www.tarladalal.com/calories-for-Veg-Puff-40842,2,24,For Serving | For The Veg Filling | For Veg Puff,puff,Nutrient values (Abbrv) per puff,31.0 g,0 mg,170 Calories,2.9 g,0.9 g,5.1 g,460 mg
How to Make Soft Roti (Phulka/Chapati) at Home,How to Make Soft Roti (Phulka/Chapati) at Home,https://www.tarladalal.com/roti--how-to-make-soft-roti-or-phulka-or-chapati-38565r,https://www.tarladalal.com/calories-for-Roti--How-To-Make-Soft-Roti-Or-Phulka-Or-Chapati-38565,2,5,For The Roti,plate,Nutrient values (Abbrv)per plate,11.8 g,0 mg,80 Calories,3.1 g,1.9 g,2.0 g,3 mg
Gulab Jamun,Gulab Jamun Recipe (Gulab Jamun With Khoya),https://www.tarladalal.com/gulab-jamun---mithai-2064r,https://www.tarladalal.com/calories-for-Gulab-Jamun---Mithai-2064,2,8,For Gulab Jamun | For The Sugar Syrup,gulab jamun,Nutrient values (Abbrv) per gulab jamun,35.0 g,0 mg,175 Calories,2.8 g,0.0 g,2.3 g,0 mg
Sprouted And Boiled Matki,Sprouted And Boiled Matki Recipe,https://www.tarladalal.com/sprouted-and-boiled-matki-2792r,https://www.tarladalal.com/calories-for-Sprouted-and-Boiled-Matki-2792,2,2,For Sprouted and Boiled Matki,cup,Nutrient values (Abbrv) per cup,40.5 g,0 mg,237 Calories,0.8 g,3.2 g,16.9 g,21 mg
Spicy Yellow Moong Dal,Spicy Yellow Moong Dal Recipe (Healthy Moong Dal),https://www.tarladalal.com/spicy-yellow-moong-dal-healthy-indian-moong-dal-22174r,https://www.tarladalal.com/calories-for-Spicy-Yellow-Moong-Dal-Healthy-Indian-Moong-Dal-22174,2,10,For Spicy Yellow Moong Dal,serving,Nutrient values (Abbrv) per serving,12.6 g,0 mg,72 Calories,0.3 g,1.8 g,4.8 g,7 mg
Coconut Chutney,Coconut Chutney Recipe for Idli & Dosa | 6 Varieties,https://www.tarladalal.com/coconut-chutney---idlis-and-dosas-1653r,https://www.tarladalal.com/calories-for-Coconut-Chutney---Idlis-and-Dosas-1653,2,9,For Coconut Chutney | For The Tempering,plate,Nutrient values (Abbrv)per plate,14.7 g,0 mg,501 Calories,46.7 g,14.0 g,5.5 g,29 mg
Jowar Bhakri,Jowar Bhakri Recipe (Healthy Jowar Bhakri),https://www.tarladalal.com/jowar-bhakri-healthy-jowar-bhakri-40619r,https://www.tarladalal.com/calories-for-Jowar-Bhakri-Healthy-Jowar-Bhakri-40619,2,4,For Jowar Bhakri,bhakri,Nutrient values (Abbrv) per bhakri,15.7 g,0 mg,75 Calories,0.4 g,2.2 g,2.3 g,2 mg
Rajma,Rajma Recipe | Authentic Punjabi Rajma Curry at Home,https://www.tarladalal.com/rajma-22784r,https://www.tarladalal.com/calories-for-Rajma-22784,2,16,For Rajma,serving,Nutrient values (Abbrv) per serving,28.0 g,8 mg,232 Calories,9.1 g,2.7 g,9.5 g,34 mg
Soft Motichoor Ladoo,Soft Motichoor Ladoo Recipe with Perfect Texture,https://www.tarladalal.com/motichoor-ke-ladoo-3916r,https://www.tarladalal.com/calories-for-Motichoor-Ke-Ladoo-3916,2,14,For The Boondi Batter | Other Ingredients For Motichoor Ke Ladoo,plate,Nutrient values (Abbrv)per plate,24.5 g,2 mg,204 Calories,9.9 g,2.2 g,3.6 g,12 mg
Mango Milkshake,Mango Milkshake Recipe | Easy,https://www.tarladalal.com/mango-milkshake-38492r,https://www.tarladalal.com/calories-for-Mango-Milkshake-38492,2,4,For Mango Milkshake,plate,Nutrient values (Abbrv)per plate,37.7 g,16 mg,252 Calories,6.7 g,0.4 g,4.6 g,33 mg
Instant Medu Vada,Instant Medu Vada Recipe (Leftover Rice Medu Vada),https://www.tarladalal.com/instant-medu-vada-40192r,https://www.tarladalal.com/calories-for-Instant-Medu-Vada-40192,2,12,For Instant Medu Vada,vada,Nutrient values (Abbrv) per vada,12.5 g,0 mg,73 Calories,0.3 g,2.5 g,5.0 g,8 mg
Vegetable Sandwich,Vegetable Sandwich Recipe | Mumbai Street Style,https://www.tarladalal.com/vegetable-sandwich--mumbai-roadside-recipes--33416r,https://www.tarladalal.com/calories-for-Vegetable-Sandwich--Mumbai-Roadside-Recipes--33416,2,27,For Serving With Vegetable Sandwich | For The Sandwich Masala (makes 1/2 Cup) | Other Ingredients For Vegetable Sandwich | To Be Blended Into A Smooth Green Chutney (makes 1/2 Cup),sandwiche,Nutrient values (Abbrv) per sandwiche,41.2 g,25 mg,266 Calories,8.7 g,3.7 g,5.8 g,119 mg
Kerala Appam,Kerala Appam Recipe | Soft & Fluffy Appam Guide,https://www.tarladalal.com/appam-appam-kerala-recipe-193r,https://www.tarladalal.com/calories-for-Appam-Appam-Kerala-Recipe-193,2,9,For Serving With Appam | For The Appam,appam,Nutrient values (Abbrv) per appam,19.5 g,0 mg,138 Calories,6.1 g,1.3 g,1.9 g,4 mg
Paneer Bhurji,Paneer Bhurji Recipe. Easy & Quick Indian Paneer Dish,https://www.tarladalal.com/paneer-bhurji-190r,https://www.tarladalal.com/calories-for-Paneer-Bhurji-190,2,11,For Paneer Bhurji,serving,Nutrient values (Abbrv) per serving,10.9 g,0 mg,370 Calories,31.7 g,0.9 g,10.4 g,7 mg
Chenna,Chenna Recipe (Chenna As Base Ingredient For Bengali Sweets),https://www.tarladalal.com/chhena-chenna-recipe-1997r,https://www.tarladalal.com/calories-for-Chhena-Chenna-Recipe-1997,2,2,For Chhena,cup,Nutrient values (Abbrv) per cup,33.3 g,96 mg,719 Calories,39.3 g,0.5 g,26.1 g,114 mg
Gujarati Moong Dal Khichdi,Gujarati Moong Dal Khichdi Recipe (Comfort Food) Easy,https://www.tarladalal.com/moong-dal-khichdi-gujarat-recipe-621r,https://www.tarladalal.com/calories-for-Moong-Dal-Khichdi-Gujarati-Recipe-621,2,8,For Moong Dal Khichdi | For Serving With Moong Dal Khichdi,serving,Nutrient values (Abbrv) per serving,54.0 g,0 mg,342 Calories,8.7 g,4.8 g,12.0 g,10 mg
Egg Bhurji Paratha,Egg Bhurji Paratha Recipe (Anda Bhurji Paratha),https://www.tarladalal.com/egg-bhurji-anda-bhurji--egg-masala-bhurji-40755r,https://www.tarladalal.com/calories-for-Egg-Bhurji-Anda-Bhurji--Egg-Masala-Bhurji-40755,2,11,For The Egg Bhurji,serving,Nutrient values (Abbrv) per serving,3.4 g,0 mg,215 Calories,17.6 g,1.0 g,10.7 g,5 mg
