food_name,recipe_title,recipe_url,calories_url,source_page_number,ingredient_count,ingredient_sections,serving_label,nutrient_heading,carbohydrates_value,cholesterol_value,energy_value,fat_value,fiber_value,protein_value,sodium_value
Herb Tortellini With Garlic Butter,Herb Tortellini With Garlic Butter Recipe,https://www.tarladalal.com/herb-tortellini-with-garlic-butter-1832r,https://www.tarladalal.com/calories-for-Herb-Tortellini-with-Garlic-Butter-1832,129,21,For The Herb Tortellini | For The Mixed Vegetables Schezwan Sauce,serving,Nutrient values (Abbrv) per serving,28.9 g,0 mg,371 Calories,25.9 g,1.6 g,6.6 g,221 mg
Caribbean Calypso,Caribbean Calypso Recipe (Creamy Pineapple And Banana Drink),https://www.tarladalal.com/caribbean-calypso-creamy-pineapple-and-banana-drink-897r,https://www.tarladalal.com/calories-for-Caribbean-Calypso-Creamy-Pineapple-and-Banana-Drink-897,129,4,Main Ingredients,glasse,Nutrient values (Abbrv) per glasse,90.1 g,0 mg,404 Calories,3.4 g,15.0 g,3.9 g,176 mg
Sukha Bhel Chutney Powder 42998R,Sukha Bhel Chutney Powder 42998R Recipe,https://www.tarladalal.com/sukha-bhel-chutney-powder-42998r,https://www.tarladalal.com/calories-for-Sukha-Bhel-Chutney-Powder-42998,129,13,For Sukha Bhel Chutney Powder,cup,Nutrient values (Abbrv) per cup,79.8 g,0 mg,517 Calories,12.0 g,37.2 g,22.6 g,126 mg
Sai Bhaji ( Microwave ),Sai Bhaji ( Microwave ) Recipe,https://www.tarladalal.com/sai-bhaji--microwave-recipe-22508r,https://www.tarladalal.com/calories-for-Sai-Bhaji--Microwave-Recipe-22508,129,13,Main Ingredients,serving,Nutrient values (Abbrv) per serving,12.5 g,0 mg,104 Calories,4.3 g,4.1 g,3.8 g,39 mg
Laccha Onions ( Kebabs And Tikkis Recipes),Laccha Onions ( Kebabs And Tikkis Recipes) Recipe,https://www.tarladalal.com/laccha-onions---kebabs-and-tikkis-recipes-32720r,https://www.tarladalal.com/calories-for-Laccha-Onions---Kebabs-and-Tikkis-Recipes-32720,129,3,Main Ingredients,cup,Nutrient values (Abbrv) per cup,6.9 g,0 mg,31 Calories,0.1 g,0.4 g,0.7 g,2 mg
Patta Gobi Dhokla,Patta Gobi Dhokla Recipe,https://www.tarladalal.com/patta-gobi-dhokla-diabetic-and-kidney-friendly-43041r,https://www.tarladalal.com/calories-for-Patta-Gobi-Dhokla-Diabetic-and-Kidney-Friendly-43041,129,13,For Patta Gobi Dhokla | For The Tempering,serving,Nutrient values (Abbrv) per serving,26.6 g,2 mg,170 Calories,3.8 g,4.8 g,7.1 g,113 mg
Gavar Pumpkin Vegetable ( Nutritious For Pregnancy),Gavar Pumpkin Vegetable ( Nutritious For Pregnancy) Recipe,https://www.tarladalal.com/gavar-pumpkin-vegetable--nutritious-recipe-for-pregnancy-22465r,https://www.tarladalal.com/calories-for-Gavar-Pumpkin-Vegetable--Nutritious-Recipe-For-Pregnancy-22465,129,0,,serving,Nutrient values (Abbrv) per serving,9.6 g,0 mg,63 Calories,1.5 g,3.6 g,2.9 g,5 mg
Chocolate Apple Ring,Chocolate Apple Ring Recipe (Chocolate Recipes),https://www.tarladalal.com/chocolate-apple-ring-1929r,https://www.tarladalal.com/calories-for-Chocolate-Apple-Ring-1929,129,10,,,Nutrient values (Abbrv) per null,397.8 g,90 mg,2364 Calories,72.1 g,22.0 g,48.7 g,2519 mg
Apple Strudel,Apple Strudel Recipe (Eggless Dessert Recipes),https://www.tarladalal.com/apple-strudel-1310r,https://www.tarladalal.com/calories-for-Apple-Strudel-1310,129,15,For the decoration | For the dough | For the filling,,Nutrient values (Abbrv) per null,134.4 g,63 mg,832 Calories,28.9 g,2.8 g,8.5 g,622 mg
Tagine,Tagine Recipe (Moroccan Tagine With Broken Wheat),https://www.tarladalal.com/tagine-veg-moroccan-tagine-with-broken-wheat-4975r,https://www.tarladalal.com/calories-for-Tagine-Veg-Moroccan-Tagine-with-Broken-Wheat-4975,129,12,Main Ingredients,serving,Nutrient values (Abbrv) per serving,32.0 g,0 mg,216 Calories,8.2 g,1.8 g,3.7 g,8 mg
Karela And Capsicum Sabzi,Karela And Capsicum Sabzi Recipe (Karela Shimla Mirch Sabzi),https://www.tarladalal.com/karela-and-capsicum-sabzi-4311r,https://www.tarladalal.com/calories-for-Karela-and-Capsicum-Sabzi-4311,129,11,Main Ingredients,serving,Nutrient values (Abbrv) per serving,6.2 g,0 mg,94 Calories,7.6 g,0.4 g,0.3 g,1 mg
Stuffed Cabbage,Stuffed Cabbage Recipe (Carrot And Cheese Rolls),https://www.tarladalal.com/stuffed-cabbage-carrot-and-cheese-rolls-22634r,https://www.tarladalal.com/calories-for-Stuffed-Cabbage-Carrot-and-Cheese-Rolls-22634,129,13,"For Serving With Stuffed Cabbage , Carrot and Cheese Rolls | For Stuffed Cabbage , Carrot and Cheese Rolls | For The Filling",roll,Nutrient values (Abbrv) per roll,19.3 g,8 mg,173 Calories,8.9 g,3.4 g,4.7 g,96 mg
Hot And Sour Noodle And Vegetable Salad,Hot And Sour Noodle And Vegetable Salad Recipe,https://www.tarladalal.com/hot-and-sour-noodle-and-vegetable-salad-450r,https://www.tarladalal.com/calories-for-Hot-and-Sour-Noodle-and-Vegetable-Salad-450,129,13,Main Ingredients | To Be Mixed Into A Dressing,serving,Nutrient values (Abbrv) per serving,23.3 g,0 mg,130 Calories,2.5 g,0.8 g,3.9 g,123 mg
Cheesy Khada Bhaji Wrap ( Wraps And Rolls),Cheesy Khada Bhaji Wrap ( Wraps And Rolls) Recipe,https://www.tarladalal.com/cheesy-khada-bhaji-wrap--wraps-and-rolls-32666r,https://www.tarladalal.com/calories-for-Cheesy-Khada-Bhaji-Wrap--Wraps-and-Rolls-32666,129,19,For The Khada Bhaji | Other Ingredients,wrap,Nutrient values (Abbrv) per wrap,38.8 g,32 mg,330 Calories,15.9 g,7.8 g,9.2 g,208 mg
Spiced Baby Corn And Broccoli,Spiced Baby Corn And Broccoli Recipe,https://www.tarladalal.com/spiced-baby-corn-and-broccoli-4922r,https://www.tarladalal.com/calories-for-Spiced-Baby-Corn-and-Broccoli-4922,129,12,Main Ingredients | To Be Mixed Into A Spice Powder,serving,Nutrient values (Abbrv) per serving,24.3 g,0 mg,163 Calories,4.7 g,2.4 g,6.0 g,32 mg
Cheesy Carrot And Celery Cigars,Cheesy Carrot And Celery Cigars Recipe,https://www.tarladalal.com/cheesy-carrot-and-celery-cigars-4999r,https://www.tarladalal.com/calories-for-Cheesy-Carrot-and-Celery-Cigars-4999,129,12,For Serving | For The Filling | Other Ingredients,cigar,Nutrient values (Abbrv) per cigar,4.5 g,0 mg,56 Calories,3.8 g,0.3 g,0.9 g,19 mg
Layered Spinach And Tomato Rice,Layered Spinach And Tomato Rice Recipe,https://www.tarladalal.com/layered-spinach-and-tomato-rice-1396r,https://www.tarladalal.com/calories-for-Layered-Spinach-and-Tomato-Rice-1396,129,12,For The Spinach Gravy (makes 2 Cups) | Other Ingredients,serving,Nutrient values (Abbrv) per serving,10.2 g,0 mg,221 Calories,16.8 g,3.2 g,7.1 g,47 mg
Tandoori Paneer Calzone,Tandoori Paneer Calzone Recipe (Paneer Calzone),https://www.tarladalal.com/tandoori-paneer-calzone-veg-paneer-calzone-1821r,https://www.tarladalal.com/calories-for-Tandoori-Paneer-Calzone-Veg-Paneer-Calzone-1821,129,17,For The Dough | Other Ingredients | To Be Mixed Into A Stuffing,calzone,Nutrient values (Abbrv) per calzone,8.8 g,0 mg,123 Calories,7.9 g,0.3 g,3.6 g,4 mg
Masala Pineapple ( Tiffin Treats),Masala Pineapple ( Tiffin Treats) Recipe,https://www.tarladalal.com/masala-pineapple---tiffin-treats-40344r,https://www.tarladalal.com/calories-for-Masala-Pineapple---Tiffin-Treats-40344,129,5,Main Ingredients,serving,Nutrient values (Abbrv) per serving,16.4 g,0 mg,69 Calories,0.1 g,3.5 g,0.5 g,43 mg
Muskmelon,Muskmelon Recipe (Pineapple And Wheat Grass Juice),https://www.tarladalal.com/muskmelon-pineapple-and-wheat-grass-juice-38861r,https://www.tarladalal.com/calories-for-Muskmelon-Pineapple-and-Wheat-Grass-Juice-38861,129,5,Juicer Method,small glasse,Nutrient values (Abbrv) per small glasse,18.1 g,0 mg,80 Calories,0.4 g,3.8 g,1.0 g,149 mg
Spinach And Paneer Cream Cracker Snack,Spinach And Paneer Cream Cracker Snack Recipe,https://www.tarladalal.com/spinach-and-paneer-cream-cracker-snack-32930r,https://www.tarladalal.com/calories-for-Spinach-and-Paneer-Cream-Cracker-Snack-32930,129,16,For The Paneer Filling | For The Spinach Filling | Other Ingredients For Spinach and Paneer Cream Cracker Snack,cracker,Nutrient values (Abbrv) per cracker,9.6 g,0 mg,115 Calories,6.8 g,0.7 g,3.4 g,29 mg
Creamy Pineapple,Creamy Pineapple Recipe (Lettuce And Peanut Salad),https://www.tarladalal.com/creamy-pineapple-lettuce-and-peanut-salad-2149r,https://www.tarladalal.com/calories-for-Creamy-Pineapple-Lettuce-and-Peanut-Salad-2149,129,8,Main Ingredients,serving,Nutrient values (Abbrv) per serving,19.0 g,0 mg,166 Calories,9.5 g,3.6 g,3.0 g,173 mg
Stir-Fried French Beans And Garlic,Stir-Fried French Beans And Garlic Recipe,https://www.tarladalal.com/stir-fried-french-beans-and-garlic-4149r,https://www.tarladalal.com/calories-for-Stir-Fried-French-Beans-and-Garlic-4149,129,7,Stir-fried French Beans and Garlic,serving,Nutrient values (Abbrv) per serving,5.2 g,0 mg,88 Calories,6.5 g,2.2 g,2.3 g,119 mg
Walnut Praline,Walnut Praline Recipe (Topping For Desserts),https://www.tarladalal.com/walnut-praline-topping-for-desserts-36870r,https://www.tarladalal.com/calories-for-Walnut-Praline-Topping-for-Desserts-36870,129,3,Main Ingredients,cup,Nutrient values (Abbrv) per cup,149.9 g,0 mg,1233 Calories,63.2 g,2.6 g,15.3 g,0 mg
Microwave Methi Pakoda Kadhi,Microwave Methi Pakoda Kadhi Recipe,https://www.tarladalal.com/methi-pakoda-kadhi--microwave-recipe-35113r,https://www.tarladalal.com/calories-for-Methi-Pakoda-Kadhi--Mcrowave-Recipe-35113,129,19,For The Garnish | For The Methi Pakodas (makes 10) | Other Ingredients,serving,Nutrient values (Abbrv) per serving,20.9 g,0 mg,235 Calories,10.3 g,3.8 g,9.4 g,38 mg
Cauliflower Bhanolu ( Microwave ),Cauliflower Bhanolu ( Microwave ) Recipe,https://www.tarladalal.com/cauliflower-bhanolu--microwave-recipe-34454r,https://www.tarladalal.com/calories-for-Cauliflower-Bhanolu--Microwave-Recipe-34454,129,0,,serving,Nutrient values (Abbrv) per serving,18.7 g,0 mg,225 Calories,14.0 g,4.3 g,5.3 g,29 mg
Pink Guava Apple Infused Water,Pink Guava Apple Infused Water Recipe,https://www.tarladalal.com/pink-guava-apple-infused-water-41804r,https://www.tarladalal.com/calories-for-Pink-Guava-Apple-Infused-Water-41804,129,2,Main Ingredients,serving,Nutrient values (Abbrv) per serving,0.0 g,0 mg,0 Calories,0.0 g,0.0 g,0.0 g,0 mg
Dalia Vegetable Idli,Dalia Vegetable Idli Recipe (Nutritious Vegetable Idli),https://www.tarladalal.com/dalia-vegetable-idli-7571r,https://www.tarladalal.com/calories-for-Dalia-Vegetable-Idli-7571,129,14,For Dalia Vegetable Idli | For The Tempering,idli,Nutrient values (Abbrv) per idli,7.9 g,1 mg,45 Calories,1.0 g,0.3 g,1.1 g,2 mg
Pomegranate Black Grapes Infused Water,Pomegranate Black Grapes Infused Water Recipe,https://www.tarladalal.com/pomegranate-black-grapes-infused-water-41809r,https://www.tarladalal.com/calories-for-Pomegranate-Black-Grapes-Infused-Water-41809,129,2,Main Ingredients,serving,Nutrient values (Abbrv) per serving,3.9 g,0 mg,18 Calories,0.0 g,0.8 g,0.4 g,0 mg
Cheese,Cheese Recipe (Leek And Dill Muffin),https://www.tarladalal.com/cheese-leek-and-dill-muffin-savoury-muffin-41513r,https://www.tarladalal.com/calories-for-Cheese-Leek-and-Dill-Muffin-Savoury-Muffin-41513,129,15,Main Ingredients,muffin,Nutrient values (Abbrv) per muffin,10.5 g,12 mg,108 Calories,5.1 g,0.0 g,4.2 g,115 mg
Nacho Stir-Fry ( Healthy Diabetic ),Nacho Stir-Fry ( Healthy Diabetic ) Recipe,https://www.tarladalal.com/nacho-stir-fry--healthy-diabetic-recipe--33646r,https://www.tarladalal.com/calories-for-Nacho-Stir-fry--Healthy-Diabetic-Recipe--33646,129,11,For The Garnish | For The Stir-fry | Other Ingredients,serving,Nutrient values (Abbrv) per serving,7.8 g,5 mg,63 Calories,2.2 g,2.6 g,2.9 g,119 mg
Fruit Bowl With Vanilla Cream ( Weight Loss After Pregnancy ),Fruit Bowl With Vanilla Cream ( Weight Loss After Pregnancy ) Recipe,https://www.tarladalal.com/fruit-bowl-with-vanilla-cream--weight-loss-after-pregnancy--33058r,https://www.tarladalal.com/calories-for-Fruit-Bowl-with-Vanilla-Cream--Weight-Loss-After-Pregnancy--33058,129,8,For The Hawaiian Fruit Bowl | For Vanilla Cream,serving,Nutrient values (Abbrv) per serving,27.1 g,0 mg,124 Calories,0.6 g,3.3 g,2.8 g,97 mg
Pav Bhaji Masala Toast,Pav Bhaji Masala Toast Recipe (Instant Masala Toast On Tava),https://www.tarladalal.com/instant-pav-bhaji-masala-toast-quick-snack-42152r,https://www.tarladalal.com/calories-for-Instant-Pav-Bhaji-Masala-Toast-Quick-Snack-42152,129,13,For Instant Pav Bhaji Masala Toast | For The Topping,toast,Nutrient values (Abbrv) per toast,19.0 g,15 mg,131 Calories,5.1 g,1.0 g,2.4 g,55 mg
Ratatouille With Herbed Kodri ( Exotic Diabetic ),Ratatouille With Herbed Kodri ( Exotic Diabetic ) Recipe,https://www.tarladalal.com/ratatouille-with-herbed-kodri--exotic-diabetic-recipe--33752r,https://www.tarladalal.com/calories-for-Ratatouille-with-Herbed-Kodri--Exotic-Diabetic-Recipe--33752,129,18,For The Herbed Kodri | For The Ratatouille,serving,Nutrient values (Abbrv) per serving,30.4 g,0 mg,189 Calories,5.5 g,6.9 g,4.8 g,27 mg
Spinach Soup ( Microwave ),Spinach Soup ( Microwave ) Recipe (Indian Microwave Recipes),https://www.tarladalal.com/spinach-soup--microwave-recipe--642r,https://www.tarladalal.com/calories-for-Spinach-Soup--Microwave-Recipe--642,129,6,For The Garnish | Main Ingredients,serving,Nutrient values (Abbrv) per serving,51.3 g,0 mg,309 Calories,7.2 g,0.0 g,8.6 g,55 mg
Lemon Balsamic Dressing,Lemon Balsamic Dressing Recipe,https://www.tarladalal.com/lemon-balsamic-dressing-mustard-lemon-balsamic-dressing-41027r,https://www.tarladalal.com/calories-for-Lemon-Balsamic-Dressing-Mustard-Lemon-Balsamic-Dressing-41027,129,6,Main Ingredients,cup,Nutrient values (Abbrv) per cup,6.7 g,0 mg,1834 Calories,200.5 g,1.0 g,0.6 g,0 mg
Cheesy Chocolate And Fruit Cake,Cheesy Chocolate And Fruit Cake Recipe (Party Recipes),https://www.tarladalal.com/cheesy-chocolate-and-fruit-cake-894r,https://www.tarladalal.com/calories-for-Cheesy-Chocolate-and-Fruit-Cake-894,129,11,For the crust | For the filling | For the topping | To serve,,Nutrient values (Abbrv) per null,32.2 g,20 mg,362 Calories,25.7 g,0.0 g,3.6 g,75 mg
Makhani Rice 42979R,Makhani Rice 42979R Recipe,https://www.tarladalal.com/makhani-rice-42979r,https://www.tarladalal.com/calories-for-Makhani-Rice-42979,129,18,For The Makhani Sauce | Other Ingredients For Makhani Rice,serving,Nutrient values (Abbrv) per serving,112.8 g,8 mg,670 Calories,17.4 g,7.4 g,16.0 g,44 mg
Stir-Fry Indian Rice,Stir-Fry Indian Rice Recipe (Stir Fry Recipes),https://www.tarladalal.com/stir-fry-indian-rice-22663r,https://www.tarladalal.com/calories-for-Stir-fry-Indian-Rice-22663,129,11,Main Recipe,serving,Nutrient values (Abbrv) per serving,24.8 g,0 mg,235 Calories,13.2 g,1.7 g,3.8 g,4 mg
Strawberry Spinach Infused Water,Strawberry Spinach Infused Water Recipe,https://www.tarladalal.com/strawberry-spinach-infused-water-41832r,https://www.tarladalal.com/calories-for-Strawberry-Spinach-Infused-Water-41832,129,2,Main Ingredients,serving,Nutrient values (Abbrv) per serving,1.7 g,0 mg,11 Calories,0.2 g,0.8 g,0.6 g,14 mg
Peshawari Paneer ( Popular Restaurant Gravies),Peshawari Paneer ( Popular Restaurant Gravies) Recipe,https://www.tarladalal.com/peshawari-paneer--popular-restaurant-gravies-33545r,https://www.tarladalal.com/calories-for-Peshawari-Paneer--Popular-Restaurant-Gravies-33545,129,11,For The Garnish | Main Ingredients,serving,Nutrient values (Abbrv) per serving,11.0 g,0 mg,368 Calories,31.2 g,0.3 g,10.0 g,8 mg
Spicy Paneer Fritters,Spicy Paneer Fritters Recipe,https://www.tarladalal.com/spicy-paneer-fritters-38071r,https://www.tarladalal.com/calories-for-Spicy-Paneer-Fritters-38071,130,10,For Serving | For The Covering | Main Ingredients | Other Ingredients,fritter,Nutrient values (Abbrv) per fritter,5.5 g,0 mg,96 Calories,7.4 g,0.0 g,2.0 g,7 mg
Orange And Strawberry Smoothie ( Burgers And Smoothie ),Orange And Strawberry Smoothie ( Burgers And Smoothie ) Recipe,https://www.tarladalal.com/orange-and-strawberry-smoothie--burgers-and-smoothie-recipe-36256r,https://www.tarladalal.com/calories-for-Orange-and-Strawberry-Smoothie--Burgers-and-Smoothie-Recipe-36256,130,6,For Serving | Main Ingredients,plate,Nutrient values (Abbrv)per plate,75.9 g,4 mg,393 Calories,6.6 g,5.9 g,6.1 g,21 mg
Kolumbu,Kolumbu Recipe (Idli Recipes),https://www.tarladalal.com/kolumbu-1664r,https://www.tarladalal.com/calories-for-Kolumbu-1664,130,22,For The Kolumbu Powder | Other Ingredients,serving,Nutrient values (Abbrv) per serving,19.9 g,0 mg,146 Calories,4.4 g,4.9 g,6.8 g,13 mg
Masala Bhatura ( Swadisht Subzian),Masala Bhatura ( Swadisht Subzian) Recipe (Indian Recipes),https://www.tarladalal.com/masala-bhatura---swadisht-subzian-4385r,https://www.tarladalal.com/calories-for-Masala-Bhatura---Swadisht-Subzian-4385,130,10,Main Ingredients,bhatura,Nutrient values (Abbrv) per bhatura,11.2 g,0 mg,97 Calories,5.2 g,1.0 g,1.7 g,3 mg
Pineapple And Wheat Grass Juice 33451R,Pineapple And Wheat Grass Juice 33451R Recipe,https://www.tarladalal.com/pineapple-and-wheat-grass-juice-33451r,https://www.tarladalal.com/calories-for-Pineapple-and-Wheat-Grass-Juice-33451,130,4,Main Ingredients,glasse,Nutrient values (Abbrv) per glasse,29.2 g,0 mg,124 Calories,0.3 g,7.6 g,1.1 g,94 mg
Saffron Dill Rice With Broccoli Sauce,Saffron Dill Rice With Broccoli Sauce Recipe,https://www.tarladalal.com/saffron-dill-rice-with-broccoli-sauce-kesar-suva-rice-with-broccoli-sauce-1630r,https://www.tarladalal.com/calories-for-Saffron-Dill-Rice-with-Broccoli-Sauce-Kesar-Suva-Rice-with-Broccoli-Sauce-1630,130,14,For The Broccoli Sauce | For The Saffron Dill Rice,serving,Nutrient values (Abbrv) per serving,46.0 g,0 mg,350 Calories,14.4 g,2.7 g,6.7 g,62 mg
Sugar-Free Date Rolls ( Weight Loss After Pregnancy ),Sugar-Free Date Rolls ( Weight Loss After Pregnancy ) Recipe,https://www.tarladalal.com/sugar-free-date-rolls--weight-loss-after-pregnancy--33055r,https://www.tarladalal.com/calories-for-Sugar-free-Date-Rolls--Weight-Loss-After-Pregnancy--33055,130,6,Main Ingredients,roll,Nutrient values (Abbrv) per roll,8.5 g,0 mg,85 Calories,4.8 g,1.9 g,1.7 g,0 mg
Mixed Veg And Tomato Dip,Mixed Veg And Tomato Dip Recipe,https://www.tarladalal.com/mixed-veg-and-tomato-dip-1618r,https://www.tarladalal.com/calories-for-Mixed-Veg-and-Tomato-Dip-1618,130,14,For Serving | Main Ingredients,serving,Nutrient values (Abbrv) per serving,9.6 g,10 mg,75 Calories,3.3 g,2.4 g,2.9 g,159 mg
Baked Mixed Vegetable Layered With Rice,Baked Mixed Vegetable Layered With Rice Recipe,https://www.tarladalal.com/baked-mixed-vegetable-layered-with-rice-2455r,https://www.tarladalal.com/calories-for-Baked-Mixed-Vegetable-Layered-with-Rice-2455,130,14,Main Ingredients,serving,Nutrient values (Abbrv) per serving,31.4 g,0 mg,260 Calories,12.1 g,3.5 g,6.8 g,141 mg
Chilli Paste,Chilli Paste Recipe,https://www.tarladalal.com/chilli-paste-22538r,https://www.tarladalal.com/calories-for-Chilli-Paste-22538,130,6,Main Recipe,cup,Nutrient values (Abbrv) per cup,26.0 g,0 mg,107 Calories,0.4 g,0.5 g,2.2 g,7 mg
Pineapple Red Capsicum Infused Water,Pineapple Red Capsicum Infused Water Recipe,https://www.tarladalal.com/pineapple-red-capsicum-infused-water-41843r,https://www.tarladalal.com/calories-for-Pineapple-Red-Capsicum-Infused-Water-41843,130,2,Main Ingredients,serving,Nutrient values (Abbrv) per serving,6.4 g,0 mg,29 Calories,0.1 g,1.9 g,0.5 g,18 mg
Dahi Bhindi - Kerala Style,Dahi Bhindi - Kerala Style Recipe (Microwave Subzis Recipes),https://www.tarladalal.com/dahi-bhindi---kerala-style-22500r,https://www.tarladalal.com/calories-for-Dahi-Bhindi---Kerala-Style-22500,130,14,For the garnish | Main Recipe,,Nutrient values (Abbrv) per null,4.9 g,0 mg,98 Calories,7.9 g,2.2 g,1.4 g,6 mg
Foxtail Millet Paratha,Foxtail Millet Paratha Recipe (Multi Flour Spinach Paratha),https://www.tarladalal.com/foxtail-millet-paratha-43093r,https://www.tarladalal.com/calories-for-Foxtail-Millet-Paratha-43093,130,15,For Foxtail Millet Paratha,paratha,Nutrient values (Abbrv) per paratha,21.3 g,0 mg,134 Calories,3.3 g,3.5 g,4.4 g,12 mg
Roasted Garlic Dressing,Roasted Garlic Dressing Recipe,https://www.tarladalal.com/roasted-garlic-dressing-roasted-garlic-vinaigrette-dressing-41035r,https://www.tarladalal.com/calories-for-Roasted-Garlic-Dressing-Roasted-Garlic-Vinaigrette-Dressing-41035,130,8,Main Ingredients,cup,Nutrient values (Abbrv) per cup,1.3 g,28 mg,1362 Calories,145.1 g,0.0 g,12.3 g,489 mg
Vegetable Satay With Peanut Sauce ( Microwave Recipes),Vegetable Satay With Peanut Sauce ( Microwave Recipes) Recipe,https://www.tarladalal.com/vegetable-satay-with-peanut-sauce--microwave-recipes-4915r,https://www.tarladalal.com/calories-for-Vegetable-Satay-with-Peanut-Sauce--Microwave-Recipes-4915,130,19,For The Peanut Sauce | For The Satay Marinade | For The Vegetable Satay,satay,Nutrient values (Abbrv) per satay,18.0 g,0 mg,250 Calories,15.9 g,6.1 g,9.5 g,41 mg
Masaledar Kand,Masaledar Kand Recipe,https://www.tarladalal.com/masaledar-kand-39307r,https://www.tarladalal.com/calories-for-Masaledar-Kand-39307,130,7,Main Ingredients,serving,Nutrient values (Abbrv) per serving,20.2 g,0 mg,177 Calories,10.1 g,3.3 g,1.2 g,8 mg
Stuffed Moong Dal Chilas ( Know Your Dals And Pulses ),Stuffed Moong Dal Chilas ( Know Your Dals And Pulses ) Recipe,https://www.tarladalal.com/stuffed-moong-dal-chilas--know-your-dals-and-pulses--32813r,https://www.tarladalal.com/calories-for-Stuffed-Moong-Dal-Chilas--Know-Your-Dals-and-Pulses--32813,130,12,For The Chila Batter | For The Stuffing | Other Ingredients,chila,Nutrient values (Abbrv) per chila,21.7 g,0 mg,157 Calories,4.0 g,4.1 g,8.5 g,10 mg
Green Peas And Raw Banana Sabzi,Green Peas And Raw Banana Sabzi Recipe | Healthy Veg,https://www.tarladalal.com/green-peas-and-raw-banana-subzi-matar-aur-kacha-kale-ki-subzi-7536r,https://www.tarladalal.com/calories-for-Green-Peas-and-Raw-Banana-Subzi-Matar-Aur-Kacha-Kale-ki-Subzi-7536,130,11,for Green Peas and Raw Banana Sabzi,plate,Nutrient values (Abbrv)per plate,46.5 g,0 mg,259 Calories,5.6 g,7.9 g,5.8 g,54 mg
Spinach And Corn Open Burger ( Burgers And Smoothies ),Spinach And Corn Open Burger ( Burgers And Smoothies ) Recipe,https://www.tarladalal.com/spinach-and-corn-open-burger--burgers-and-smoothies-recipe-36334r,https://www.tarladalal.com/calories-for-Spinach-and-Corn-Open-Burger--Burgers-and-Smoothies-Recipe-36334,130,17,Accompaniments | For The Filling | Other Ingredients,open burger,Nutrient values (Abbrv) per open burger,25.5 g,0 mg,212 Calories,9.4 g,3.0 g,6.8 g,81 mg
Mango Ice- Cream ( Fun Food For Children),Mango Ice- Cream ( Fun Food For Children) Recipe,https://www.tarladalal.com/mango-ice--cream---fun-food-for-children-1906r,https://www.tarladalal.com/calories-for-Mango-Ice--Cream---Fun-Food-For-Children-1906,130,5,Main Ingredients,serving,Nutrient values (Abbrv) per serving,17.6 g,0 mg,144 Calories,6.9 g,0.2 g,1.7 g,15 mg
Ratabi,Ratabi Recipe (Mithai Recipes),https://www.tarladalal.com/ratabi-2077r,https://www.tarladalal.com/calories-for-Ratabi-2077,130,6,For the garnishing,,Nutrient values (Abbrv) per null,1.5 g,1 mg,25 Calories,1.6 g,0.0 g,0.7 g,2 mg
Panchratni Dal,Panchratni Dal Recipe (Pressure Cooker Panchratni Dal),https://www.tarladalal.com/panchratni-dal-pressure-cooker-panchratni-dal-recipe-33368r,https://www.tarladalal.com/calories-for-Panchratni-Dal-Pressure-Cooker-Panchratni-Dal-Recipe-33368,130,18,Main Ingredients,serving,Nutrient values (Abbrv) per serving,17.9 g,0 mg,136 Calories,3.8 g,4.1 g,6.9 g,13 mg
Creamy Layered Orange Parfait,Creamy Layered Orange Parfait Recipe,https://www.tarladalal.com/creamy-layered-orange-parfait-408r,https://www.tarladalal.com/calories-for-Creamy-Layered-Orange-Parfait-408,130,5,Main Ingredients,serving,Nutrient values (Abbrv) per serving,60.8 g,0 mg,600 Calories,38.8 g,0.5 g,2.1 g,54 mg
Caramel Cookies With Eggs,Caramel Cookies With Eggs Recipe (Indian Caramel Biscuits),https://www.tarladalal.com/caramel-cookies-with-eggs-41682r,https://www.tarladalal.com/calories-for-Caramel-Cookies-with-Eggs-41682,130,10,for Caramel Cookies with Eggs,cookie,Nutrient values (Abbrv) per cookie,24.6 g,0 mg,173 Calories,7.4 g,0.0 g,2.0 g,61 mg
Air Fried Shakarkand,Air Fried Shakarkand Recipe (Air Fryer Sweet Potatoes),https://www.tarladalal.com/air-fried-shakarkand-indian-style-sweet-potato-fries-42873r,https://www.tarladalal.com/calories-for-Air-Fried-Shakarkand-Indian-Style-Sweet-Potato-Fries-42873,130,6,For Air Fried Shakarkand,plate,Nutrient values (Abbrv)per plate,33.1 g,0 mg,159 Calories,2.4 g,4.6 g,1.4 g,204 mg
Strawberry Yoghurt Smoothie,Strawberry Yoghurt Smoothie Recipe,https://www.tarladalal.com/strawberry-yoghurt-smoothie-healthy-indian-smoothie-42880r,https://www.tarladalal.com/calories-for-Strawberry-Yoghurt-Smoothie-Healthy-Indian-Smoothie-42880,130,4,For Strawberry Yoghurt Smoothie,large glas,Nutrient values (Abbrv) per large glas,40.9 g,0 mg,182 Calories,0.7 g,6.1 g,2.4 g,3 mg
Chinese Style Fried Capsicum,Chinese Style Fried Capsicum Recipe,https://www.tarladalal.com/chinese-style-fried-capsicum-33077r,https://www.tarladalal.com/calories-for-Chinese-Style-Fried-Capsicum-33077,130,14,For The Fried Capsicum | For The Green Garlic Sauce,serving,Nutrient values (Abbrv) per serving,54.4 g,0 mg,366 Calories,14.0 g,4.3 g,6.4 g,8 mg
