food_name,serving_type,serving_qty,serving_weight_grams,serving_weight_grams_numeric,serving_phrase,table_value_header,table_daily_value_header,nutrient_count,calcium_daily_value_pct,calcium_value,carbohydrates_daily_value_pct,carbohydrates_value,cholesterol_daily_value_pct,cholesterol_value,energy_daily_value_pct,energy_value,fat_daily_value_pct,fat_value,fiber_daily_value_pct,fiber_value,folic_acid_vitamin_b9_daily_value_pct,folic_acid_vitamin_b9_value,iron_daily_value_pct,iron_value,magnesium_daily_value_pct,magnesium_value,phosphorus_daily_value_pct,phosphorus_value,potassium_daily_value_pct,potassium_value,protein_daily_value_pct,protein_value,sodium_daily_value_pct,sodium_value,vitamin_a_daily_value_pct,vitamin_a_value,vitamin_b1_thiamine_daily_value_pct,vitamin_b1_thiamine_value,vitamin_b2_riboflavin_daily_value_pct,vitamin_b2_riboflavin_value,vitamin_b3_niacin_daily_value_pct,vitamin_b3_niacin_value,vitamin_c_daily_value_pct,vitamin_c_value,vitamin_e_daily_value_pct,vitamin_e_value,zinc_daily_value_pct,zinc_value
cup (200 ml) Thai Vegetable Stock,cup,1 cup,,,cup (200 ml) Thai Vegetable Stock,Value per cup,% Daily Values,20,5%,54.8 mg,2%,5.3 g,0%,0.0 mg,1%,24 kcal,0%,0.09 g,5%,1.56 g,3%,9.7 mcg,5%,1.0 mg,2%,9.0 mg,17%,174.5 mg,2%,82.3 mg,1%,0.5 g,1%,19.7 mg,64%,635.2 mcg,3%,0.0 mg,1%,0.0 mg,2%,0.3 mg,4%,3.0 mg,0%,0.0 mg,1%,0.2 mg
Pear And Pomegranate Smoothie ( Burgers And Smoothie ) Recipe,big glass,1 big glass,,,,Value per big glass,% Daily Values,20,7%,69.6 mg,15%,42.5 g,1%,4.0 mg,10%,205 kcal,3%,2.00 g,28%,8.28 g,10%,28.6 mcg,8%,1.5 mg,7%,32.4 mg,8%,83.1 mg,7%,232.6 mg,4%,2.7 g,1%,15.4 mg,9%,87.3 mcg,10%,0.1 mg,6%,0.1 mg,3%,0.5 mg,16%,12.4 mg,5%,0.4 mg,2%,0.3 mg
Microwave Masoor Dal Recipe (Red Lentil Dal (Microwave)),serving,1 serving,,,,Value serving,% Daily Values,20,6%,63.6 mg,9%,26.0 g,0%,0.0 mg,10%,195 kcal,9%,5.49 g,16%,4.86 g,14%,41.8 mcg,19%,3.6 mg,10%,44.7 mg,13%,127.6 mg,9%,317.6 mg,17%,10.3 g,1%,15.9 mg,116%,1164.7 mcg,15%,0.2 mg,7%,0.1 mg,10%,1.3 mg,18%,14.5 mg,5%,0.4 mg,8%,1.3 mg
Masala Sev Recipe (Indian Jar Snack),cup,1 cup,,,,Value per cup,% Daily Values,20,5%,45.9 mg,18%,49.0 g,0%,0.0 mg,24%,485 kcal,41%,24.59 g,42%,12.55 g,40%,121.0 mcg,23%,4.3 mg,0%,0.0 mg,0%,0.0 mg,17%,590.4 mg,28%,17.1 g,3%,60.0 mg,29%,285.8 mcg,28%,0.4 mg,7%,0.1 mg,14%,2.0 mg,1%,0.8 mg,-3%,-0.2 mg,8%,1.4 mg
Cheesy Spinach Dip Recipe,tbsp,1 tbsp,,,,Value per tbsp,% Daily Values,20,46%,463.6 mg,4%,12.1 g,18%,55.0 mg,14%,286 kcal,31%,18.35 g,4%,1.08 g,20%,59.3 mcg,10%,1.9 mg,12%,53.4 mg,28%,282.0 mg,6%,207.5 mg,19%,11.5 g,17%,347.8 mg,282%,2819.2 mcg,5%,0.1 mg,12%,0.2 mg,3%,0.4 mg,16%,13.2 mg,11%,0.8 mg,1%,0.2 mg
Khumbh Ke Kebab ( Healthy Starter ) Recipe,kebab,1 kebab,,,,Value per kebab,% Daily Values,20,3%,28.7 mg,2%,5.3 g,0%,0.0 mg,2%,39 kcal,2%,1.37 g,2%,0.65 g,1%,4.3 mcg,2%,0.3 mg,3%,12.7 mg,3%,30.4 mg,1%,50.1 mg,2%,1.5 g,0%,7.5 mg,11%,109.5 mcg,4%,0.1 mg,1%,0.0 mg,2%,0.2 mg,4%,2.8 mg,0%,0.0 mg,2%,0.3 mg
Amla Infused Water Recipe (Indian Gooseberry Infused Water),serving,1 serving,,,,Value serving,% Daily Values,20,4%,35.0 mg,3%,9.6 g,0%,0.0 mg,2%,41 kcal,0%,0.07 g,8%,2.38 g,0%,0.3 mcg,4%,0.8 mg,3%,14.0 mg,0%,0.0 mg,5%,157.5 mg,1%,0.4 g,0%,3.5 mg,1%,6.3 mcg,0%,0.0 mg,0%,0.0 mg,0%,0.0 mg,525%,420.0 mg,0%,0.0 mg,0%,0.0 mg
Spicy Chawli Leaves And Spinach Stuffed Parathas Recipe,paratha,1 paratha,,,,Value paratha,% Daily Values,20,9%,87.8 mg,6%,15.9 g,0%,0.0 mg,10%,205 kcal,24%,14.25 g,5%,1.52 g,15%,43.9 mcg,9%,1.7 mg,0%,0.0 mg,0%,0.0 mg,4%,145.0 mg,6%,3.4 g,3%,50.1 mg,165%,1646.3 mcg,8%,0.1 mg,4%,0.1 mg,7%,1.0 mg,24%,19.4 mg,-9%,-0.7 mg,3%,0.5 mg
Coconut Milk With Coconut Oil Coffee Creamer Recipe,cup,1 cup,,,,Value per cup,% Daily Values,20,0%,2.0 mg,4%,10.9 g,0%,0.0 mg,23%,454 kcal,75%,45.00 g,0%,0.04 g,0%,0.1 mcg,0%,0.0 mg,0%,0.0 mg,0%,0.0 mg,1%,20.4 mg,0%,0.2 g,0%,0.2 mg,20%,198.0 mcg,0%,0.0 mg,0%,0.0 mg,0%,0.0 mg,0%,0.0 mg,-3%,-0.3 mg,2%,0.4 mg
Kaju Kopra Sheera,serving,1 serving,,,serving of Kaju Kopra Sheera,Value serving,% Daily Values,20,2%,15.0 mg,14%,39.1 g,0%,0.0 mg,25%,499 kcal,59%,35.13 g,12%,3.73 g,1%,3.1 mcg,10%,1.9 mg,0%,0.0 mg,0%,0.0 mg,0%,0.0 mg,11%,6.4 g,0%,0.0 mg,13%,132.0 mcg,12%,0.2 mg,4%,0.1 mg,4%,0.5 mg,0%,0.3 mg,-12%,-0.9 mg,9%,1.5 mg
Vanilla Butter Icing Recipe,tbsp,1 tbsp,,,,Value per tbsp,% Daily Values,20,0%,0.0 mg,87%,238.6 g,70%,210.0 mg,79%,1572 kcal,113%,68.04 g,0%,0.00 g,0%,0.0 mcg,0%,0.0 mg,0%,0.0 mg,2%,16.0 mg,1%,21.8 mg,0%,0.0 g,35%,693.8 mg,269%,2688.0 mcg,0%,0.0 mg,0%,0.0 mg,0%,0.0 mg,0%,0.0 mg,26%,1.9 mg,0%,0.0 mg
White Chocolate And Pistachio Balls Recipe,ball,1 ball,,,,Value ball,% Daily Values,20,13%,125.3 mg,14%,39.3 g,12%,35.0 mg,21%,419 kcal,45%,26.79 g,2%,0.55 g,3%,9.8 mcg,10%,2.0 mg,10%,45.2 mg,10%,102.1 mg,9%,331.5 mg,14%,8.1 g,8%,163.9 mg,58%,579.8 mcg,28%,0.4 mg,10%,0.2 mg,7%,1.0 mg,2%,1.4 mg,8%,0.6 mg,4%,0.7 mg
Stuffed Apple Crepes,serving,1 serving,,,Stuffed Apple Crepes,Value serving,% Daily Values,20,8%,84.4 mg,18%,48.6 g,1%,2.6 mg,12%,231 kcal,4%,2.22 g,14%,4.13 g,16%,48.6 mcg,11%,2.0 mg,8%,36.0 mg,9%,88.2 mg,4%,139.3 mg,6%,3.8 g,1%,23.5 mg,67%,669.5 mcg,17%,0.2 mg,8%,0.2 mg,13%,1.8 mg,26%,20.6 mg,3%,0.2 mg,3%,0.4 mg
Tempered Dark Chocolate Recipe,tbsp,1 tbsp,,,,Value per tbsp,% Daily Values,20,12%,121.4 mg,17%,47.4 g,0%,0.0 mg,37%,744 kcal,132%,79.22 g,0%,0.00 g,5%,13.7 mcg,56%,10.6 mg,103%,454.5 mg,60%,597.0 mg,37%,1294.5 mg,26%,15.8 g,0%,5.3 mg,3%,26.9 mcg,4%,0.1 mg,19%,0.4 mg,15%,2.1 mg,0%,0.0 mg,-20%,-1.5 mg,0%,0.0 mg
Avocado Cherry Tomato Crostini Recipe,crostini,1 crostini,,,,Value per crostini,% Daily Values,20,3%,25.4 mg,4%,10.7 g,0%,0.0 mg,4%,78 kcal,5%,3.28 g,5%,1.62 g,8%,22.9 mcg,3%,0.6 mg,2%,8.6 mg,2%,15.1 mg,4%,140.7 mg,3%,1.8 g,0%,7.3 mg,16%,156.1 mcg,5%,0.1 mg,2%,0.0 mg,5%,0.6 mg,17%,13.3 mg,6%,0.4 mg,1%,0.1 mg
Aloo Puri Recipe (Punjabi Aloo Puri),serving,1 serving,,,,Value serving,% Daily Values,20,3%,32.1 mg,4%,9.8 g,0%,0.0 mg,6%,112 kcal,13%,7.63 g,4%,1.32 g,6%,17.6 mcg,3%,0.5 mg,0%,0.0 mg,0%,0.0 mg,4%,152.7 mg,2%,1.1 g,0%,9.7 mg,32%,315.1 mcg,6%,0.1 mg,2%,0.0 mg,4%,0.6 mg,24%,19.3 mg,-12%,-0.9 mg,1%,0.2 mg
tall glass Pineapple Banana Yoghurt Shake,tall glass,1 tall glass,,,tall glass Pineapple Banana Yoghurt Shake,Value per tall glass,% Daily Values,20,18%,177.6 mg,12%,32.6 g,4%,12.0 mg,10%,208 kcal,8%,5.07 g,8%,2.55 g,1%,4.2 mcg,10%,1.8 mg,12%,53.2 mg,12%,119.3 mg,4%,130.0 mg,7%,4.0 g,3%,52.4 mg,17%,166.3 mcg,13%,0.2 mg,9%,0.2 mg,3%,0.4 mg,35%,28.1 mg,0%,0.0 mg,0%,0.1 mg
Spiced Pancakes With Cinnamon Pears Recipe,serving,1 serving,,,,Value serving,% Daily Values,20,7%,66.0 mg,10%,27.4 g,5%,14.5 mg,9%,177 kcal,10%,5.95 g,10%,3.07 g,11%,33.3 mcg,7%,1.4 mg,5%,23.5 mg,7%,72.8 mg,3%,104.7 mg,5%,3.2 g,2%,47.6 mg,22%,217.4 mcg,16%,0.2 mg,8%,0.2 mg,11%,1.5 mg,3%,2.5 mg,3%,0.2 mg,2%,0.3 mg
Choco Chickoo Smoothie ( Burgers And Smoothies ) Recipe,big glass,1 big glass,,,,Value per big glass,% Daily Values,20,3%,27.4 mg,24%,65.4 g,0%,0.0 mg,17%,343 kcal,11%,6.81 g,36%,10.68 g,0%,0.0 mcg,6%,1.2 mg,6%,24.5 mg,3%,26.5 mg,8%,263.6 mg,5%,3.3 g,0%,5.8 mg,10%,95.1 mcg,1%,0.0 mg,2%,0.0 mg,1%,0.2 mg,7%,5.9 mg,0%,0.0 mg,1%,0.2 mg
Creamy Sun-Dried Tomato And Herb Dip With Vegetable Strips Recipe,tbsp,1 tbsp,,,,Value tbsp,% Daily Values,20,2%,19.5 mg,0%,0.5 g,0%,1.1 mg,0%,10 kcal,1%,0.47 g,0%,0.02 g,0%,1.0 mcg,0%,0.0 mg,0%,2.2 mg,1%,10.7 mg,0%,13.8 mg,1%,0.4 g,0%,7.0 mg,2%,24.5 mcg,0%,0.0 mg,0%,0.0 mg,0%,0.0 mg,1%,0.6 mg,0%,0.0 mg,0%,0.0 mg
Mixed Vegetable Open Toast Recipe,open toast,1 open toast,,,,Value per open toast,% Daily Values,20,8%,84.2 mg,6%,16.4 g,0%,0.0 mg,6%,130 kcal,9%,5.28 g,2%,0.51 g,2%,6.2 mcg,3%,0.6 mg,0%,0.0 mg,0%,0.0 mg,1%,36.4 mg,8%,5.0 g,5%,95.3 mg,17%,169.0 mcg,2%,0.0 mg,0%,0.0 mg,2%,0.3 mg,5%,4.0 mg,-9%,-0.7 mg,1%,0.1 mg
Stuffed Spinach Pakoda Recipe,pakoda,1 pakoda,,,,Value per pakoda,% Daily Values,20,14%,136.6 mg,3%,9.5 g,0%,0.0 mg,7%,135 kcal,15%,8.72 g,2%,0.51 g,4%,13.0 mcg,2%,0.4 mg,0%,0.0 mg,0%,0.0 mg,1%,27.5 mg,7%,4.4 g,0%,3.1 mg,30%,302.3 mcg,-13%,-0.2 mg,-10%,-0.2 mg,2%,0.3 mg,2%,1.7 mg,-5%,-0.4 mg,1%,0.1 mg
Lycopene Rich Tomato Salad,serving,1 serving,,,serving of Lycopene Rich Tomato Salad,Value serving,% Daily Values,20,6%,57.6 mg,2%,4.3 g,0%,0.0 mg,3%,69 kcal,9%,5.24 g,7%,2.04 g,12%,36.0 mcg,4%,0.8 mg,3%,13.2 mg,2%,24.0 mg,5%,175.2 mg,2%,1.1 g,1%,15.5 mg,47%,466.2 mcg,10%,0.1 mg,4%,0.1 mg,3%,0.5 mg,41%,32.4 mg,0%,0.0 mg,0%,0.0 mg
Chick Pea Potato Soya Tikki Recipe,tikki,1 tikki,,,,Value tikki,% Daily Values,20,2%,22.4 mg,4%,11.1 g,0%,0.0 mg,4%,80 kcal,5%,3.01 g,8%,2.54 g,6%,17.5 mcg,4%,0.7 mg,0%,0.0 mg,0%,0.0 mg,1%,31.1 mg,4%,2.2 g,0%,1.4 mg,5%,54.0 mcg,3%,0.0 mg,1%,0.0 mg,3%,0.5 mg,3%,2.4 mg,-4%,-0.3 mg,2%,0.3 mg
Nawabi Kesar Koftas Recipe,serving,1 serving,,,,Value serving,% Daily Values,20,23%,225.3 mg,6%,16.4 g,0%,0.0 mg,14%,277 kcal,34%,20.26 g,6%,1.75 g,6%,17.3 mcg,6%,1.1 mg,0%,0.0 mg,0%,0.0 mg,3%,95.5 mg,12%,7.3 g,0%,9.1 mg,26%,257.1 mcg,-3%,-0.0 mg,-4%,-0.1 mg,5%,0.8 mg,11%,8.6 mg,-12%,-0.9 mg,3%,0.5 mg
Spring Onion And Curd Dip Recipe (Sizzler Recipes),tbsp,1 tbsp,,,,Value per tbsp,% Daily Values,20,22%,218.1 mg,2%,5.8 g,5%,16.0 mg,6%,120 kcal,11%,6.52 g,1%,0.33 g,2%,7.5 mcg,2%,0.5 mg,5%,21.7 mg,13%,134.5 mg,4%,124.6 mg,8%,4.5 g,1%,19.5 mg,20%,200.5 mcg,4%,0.1 mg,6%,0.1 mg,1%,0.1 mg,9%,7.1 mg,1%,0.1 mg,0%,0.1 mg
Rava Dhokla With Stuffed Schezwan Filling Recipe,mini dhokla,1 mini dhokla,,,,Value per mini dhokla,% Daily Values,20,1%,9.7 mg,1%,3.6 g,0%,0.7 mg,2%,30 kcal,2%,1.36 g,0%,0.06 g,1%,3.6 mcg,0%,0.1 mg,1%,3.1 mg,1%,10.6 mg,0%,11.8 mg,1%,0.7 g,0%,1.8 mg,3%,26.0 mcg,1%,0.0 mg,0%,0.0 mg,1%,0.1 mg,4%,3.5 mg,0%,0.0 mg,0%,0.1 mg
Lemon Pound Cake,slice,1 slice,,,slice of Lemon Pound Cake,Value per slice,% Daily Values,20,42%,418.2 mg,203%,558.1 g,146%,437.8 mg,202%,4039 kcal,288%,172.94 g,8%,2.42 g,56%,168.3 mcg,70%,13.4 mg,44%,192.1 mg,111%,1113.9 mg,21%,740.4 mg,105%,63.1 g,170%,3390.8 mg,684%,6841.0 mcg,43%,0.6 mg,55%,1.1 mg,53%,7.4 mg,45%,35.9 mg,81%,6.1 mg,12%,2.1 mg
Thick White Sauce Used For Baked Dishes Recipe,tbsp,1 tbsp,,,,Value per tbsp,% Daily Values,20,56%,564.3 mg,10%,27.1 g,28%,82.7 mg,25%,494 kcal,51%,30.47 g,0%,0.05 g,5%,14.9 mcg,5%,1.0 mg,14%,60.7 mg,37%,372.3 mg,8%,268.4 mg,23%,13.5 g,9%,184.6 mg,94%,943.3 mcg,10%,0.1 mg,14%,0.3 mg,5%,0.7 mg,3%,2.7 mg,5%,0.4 mg,1%,0.1 mg
Coconut Kadhi,serving,1 serving,,,serving of Coconut Kadhi,Value serving,% Daily Values,20,9%,93.2 mg,6%,15.6 g,0%,0.0 mg,19%,386 kcal,54%,32.39 g,33%,9.87 g,7%,21.6 mcg,8%,1.6 mg,0%,0.0 mg,0%,0.0 mg,3%,98.2 mg,10%,6.1 g,1%,12.9 mg,10%,96.7 mcg,6%,0.1 mg,6%,0.1 mg,5%,0.8 mg,2%,2.0 mg,-10%,-0.8 mg,1%,0.2 mg
Layered Fruit Recipe,glass,1 glass,,,,Value per glass,% Daily Values,20,17%,171.5 mg,25%,68.5 g,3%,7.5 mg,46%,930 kcal,134%,80.32 g,19%,5.76 g,9%,28.0 mcg,43%,8.1 mg,62%,274.6 mg,36%,358.1 mg,29%,1008.8 mg,22%,13.0 g,5%,92.5 mg,62%,621.4 mcg,11%,0.2 mg,14%,0.3 mg,11%,1.6 mg,82%,65.8 mg,24%,1.8 mg,3%,0.5 mg
Herb Mustard Vinaigrette Dressing Recipe (Healthy Recipes),cup,1 cup,,,,Value cup,% Daily Values,20,0%,0.0 mg,0%,0.0 g,0%,0.0 mg,45%,900 kcal,167%,100.00 g,0%,0.00 g,0%,0.0 mcg,0%,0.0 mg,0%,0.0 mg,0%,0.0 mg,0%,0.0 mg,0%,0.0 g,0%,0.0 mg,90%,900.0 mcg,0%,0.0 mg,0%,0.0 mg,0%,0.0 mg,0%,0.0 mg,-13%,-1.0 mg,0%,0.0 mg
Roasted Tomato And Capsicum Fondue Recipe,tbsp,1 tbsp,,,,Value per tbsp,% Daily Values,20,38%,383.7 mg,4%,10.0 g,15%,45.5 mg,13%,256 kcal,30%,18.12 g,6%,1.73 g,7%,20.7 mcg,7%,1.3 mg,5%,21.7 mg,25%,250.7 mg,6%,215.0 mg,18%,10.8 g,21%,420.1 mg,67%,674.4 mcg,23%,0.3 mg,5%,0.1 mg,2%,0.3 mg,90%,72.1 mg,-2%,-0.1 mg,1%,0.2 mg
Shortcrust Pastry (Pvc) Recipe (Vegetarian Recipes),,,,,,Value,% Daily Values,20,8%,82.2 mg,61%,166.9 g,0%,0.0 mg,80%,1604 kcal,158%,94.83 g,2%,0.68 g,0%,1.2 mcg,32%,6.1 mg,28%,121.5 mg,27%,272.3 mg,10%,335.9 mg,43%,25.7 g,7%,144.0 mg,211%,2111.3 mcg,19%,0.3 mg,8%,0.2 mg,39%,5.4 mg,0%,0.2 mg,0%,0.0 mg,8%,1.4 mg
Ceylonese Curry With Rice Noodles Recipe,serving,1 serving,,,,Value serving,% Daily Values,20,5%,45.4 mg,13%,36.8 g,0%,0.0 mg,17%,331 kcal,32%,19.10 g,14%,4.21 g,8%,24.8 mcg,9%,1.7 mg,9%,37.7 mg,13%,126.2 mg,8%,285.5 mg,9%,5.3 g,1%,22.4 mg,18%,179.0 mcg,7%,0.1 mg,2%,0.0 mg,6%,0.9 mg,20%,16.0 mg,2%,0.1 mg,4%,0.7 mg
(100 grams) of Corn Bread Tartlets,tartlet,1 tartlet,100 grams,100,(100 grams) of Corn Bread Tartlets,Value per tartlet,% Daily Values,20,8%,82.4 mg,5%,14.0 g,4%,10.6 mg,5%,102 kcal,6%,3.38 g,1%,0.26 g,1%,3.6 mcg,2%,0.5 mg,1%,5.5 mg,5%,54.4 mg,1%,38.7 mg,7%,4.1 g,5%,93.4 mg,7%,68.6 mcg,3%,0.0 mg,1%,0.0 mg,2%,0.3 mg,1%,0.5 mg,0%,0.0 mg,1%,0.1 mg
Stuffed Karelas In Makhani Gravy Recipe,serving,1 serving,,,,Value per serving,% Daily Values,20,11%,107.7 mg,8%,20.8 g,0%,0.0 mg,7%,135 kcal,4%,2.33 g,20%,6.10 g,16%,48.4 mcg,9%,1.8 mg,15%,65.9 mg,9%,85.7 mg,14%,473.2 mg,13%,7.7 g,1%,29.1 mg,50%,496.5 mcg,17%,0.2 mg,8%,0.2 mg,9%,1.2 mg,109%,86.9 mg,2%,0.1 mg,6%,0.9 mg
Baked Sun-Dried Tomato Cheese Rolls Recipe,roll,1 roll,,,,Value per roll,% Daily Values,20,16%,157.5 mg,7%,18.6 g,0%,0.0 mg,10%,193 kcal,17%,10.12 g,1%,0.36 g,3%,9.7 mcg,6%,1.1 mg,0%,0.0 mg,0%,0.0 mg,2%,75.9 mg,11%,6.7 g,1%,15.9 mg,24%,241.7 mcg,4%,0.1 mg,0%,0.0 mg,4%,0.5 mg,11%,8.6 mg,-3%,-0.2 mg,0%,0.0 mg
Raspberry Oatmeal Nut Bars Recipe,square,1 square,,,,Value per square,% Daily Values,20,2%,21.5 mg,32%,88.5 g,7%,21.3 mg,11%,220 kcal,19%,11.23 g,5%,1.56 g,3%,9.2 mcg,5%,0.9 mg,11%,48.8 mg,9%,85.8 mg,3%,97.8 mg,6%,3.4 g,6%,127.3 mg,28%,275.9 mcg,10%,0.1 mg,2%,0.0 mg,4%,0.5 mg,1%,0.9 mg,11%,0.8 mg,3%,0.5 mg
Pyaaz Aur Anardane ki Roti,roti,1 roti,,,Pyaaz Aur Anardane ki Roti,Value per roti,% Daily Values,20,3%,25.9 mg,9%,26.0 g,0%,0.0 mg,9%,174 kcal,11%,6.47 g,14%,4.10 g,4%,13.0 mcg,9%,1.7 mg,11%,46.4 mg,13%,126.4 mg,4%,130.3 mg,7%,4.2 g,0%,7.4 mg,5%,53.5 mcg,13%,0.2 mg,3%,0.1 mg,11%,1.5 mg,3%,2.4 mg,3%,0.3 mg,5%,0.8 mg
Garlic Onion And Cheese Pizza Recipe,pizza,1 pizza,,,,Value per pizza,% Daily Values,20,52%,521.8 mg,19%,51.4 g,8%,23.0 mg,28%,565 kcal,50%,29.83 g,9%,2.63 g,14%,40.6 mcg,12%,2.3 mg,0%,0.0 mg,0%,0.0 mg,9%,328.9 mg,39%,23.5 g,39%,782.9 mg,82%,822.8 mcg,-8%,-0.1 mg,-13%,-0.3 mg,10%,1.4 mg,52%,41.9 mg,-40%,-3.0 mg,3%,0.6 mg
Corn And Rava Dhokla Stuffed With Green Chutney Recipe,dhokla,1 dhokla,,,,Value per dhokla,% Daily Values,20,1%,9.6 mg,2%,4.3 g,0%,0.7 mg,1%,27 kcal,1%,0.73 g,0%,0.10 g,1%,4.2 mcg,0%,0.1 mg,1%,3.6 mg,1%,11.9 mg,0%,13.2 mg,1%,0.8 g,0%,1.9 mg,1%,11.8 mcg,1%,0.0 mg,0%,0.0 mg,1%,0.1 mg,0%,0.2 mg,0%,0.0 mg,0%,0.1 mg
Green Chilli Paste,cup,1 cup,,,cup of Green Chilli Paste,Value cup,% Daily Values,20,5%,48.6 mg,2%,4.8 g,0%,0.0 mg,4%,70 kcal,6%,3.63 g,36%,10.88 g,15%,46.4 mcg,37%,7.1 mg,99%,435.2 mg,13%,128.0 mg,0%,0.2 mg,8%,4.6 g,52%,1033.5 mg,30%,304.0 mcg,22%,0.3 mg,31%,0.6 mg,10%,1.4 mg,222%,177.6 mg,0%,0.0 mg,17%,2.9 mg
Mini Chocolate Cake Layered With Coffee Cream Recipe,serving,1 serving,,,,Value serving,% Daily Values,20,18%,180.3 mg,30%,82.3 g,10%,31.4 mg,29%,584 kcal,39%,23.58 g,2%,0.63 g,2%,6.7 mcg,6%,1.2 mg,0%,0.0 mg,0%,0.0 mg,8%,276.6 mg,16%,9.7 g,10%,193.5 mg,52%,516.3 mcg,41%,0.6 mg,14%,0.3 mg,8%,1.1 mg,2%,1.6 mg,0%,0.0 mg,5%,0.8 mg
Oats Chocolate Walnut Balls Recipe,ball,1 ball,,,,Value per ball,% Daily Values,20,2%,17.0 mg,2%,6.2 g,0%,0.0 mg,5%,90 kcal,12%,7.39 g,2%,0.61 g,2%,6.8 mcg,5%,0.9 mg,11%,48.0 mg,7%,69.6 mg,3%,120.1 mg,4%,2.5 g,0%,0.3 mg,0%,1.5 mcg,5%,0.1 mg,2%,0.0 mg,2%,0.3 mg,0%,0.0 mg,10%,0.7 mg,2%,0.3 mg
Masala Masoor Dal ( Zero Oil ) Recipe,serving,1 serving,,,,Value serving,% Daily Values,20,5%,47.3 mg,8%,21.3 g,0%,0.0 mg,6%,121 kcal,1%,0.32 g,13%,3.85 g,7%,21.9 mcg,14%,2.6 mg,7%,29.3 mg,10%,104.8 mg,7%,250.5 mg,14%,8.2 g,0%,7.5 mg,29%,288.9 mcg,13%,0.2 mg,4%,0.1 mg,8%,1.1 mg,17%,13.2 mg,1%,0.0 mg,6%,1.0 mg
Piedmontese Gnocchi With Tomato And Red Wine Sauce Recipe,serving,1 serving,,,,Value serving,% Daily Values,20,14%,137.3 mg,9%,24.0 g,0%,0.0 mg,13%,266 kcal,27%,16.44 g,14%,4.26 g,22%,67.0 mcg,11%,2.1 mg,8%,34.2 mg,12%,122.5 mg,11%,393.9 mg,8%,4.8 g,8%,157.3 mg,105%,1052.3 mcg,20%,0.3 mg,7%,0.1 mg,9%,1.2 mg,72%,57.3 mg,15%,1.1 mg,2%,0.3 mg
Buttered Rice Recipe (How To Make Buttered Rice),cup,1 cup,,,,Value cup,% Daily Values,20,0%,4.0 mg,11%,31.3 g,0%,0.0 mg,10%,193 kcal,11%,6.31 g,5%,1.64 g,1%,3.2 mcg,1%,0.3 mg,0%,0.0 mg,0%,0.0 mg,0%,1.6 mg,5%,2.7 g,2%,49.6 mg,20%,203.3 mcg,2%,0.0 mg,1%,0.0 mg,5%,0.8 mg,0%,0.0 mg,-6%,-0.5 mg,3%,0.5 mg
Badam Aur Arbi Ke Kebab ( Kebabs And Tikkis Recipes) Recipe,kebab,1 kebab,,,,Value kebab,% Daily Values,20,6%,56.9 mg,2%,6.6 g,0%,0.0 mg,7%,137 kcal,18%,11.04 g,1%,0.38 g,3%,10.5 mcg,2%,0.4 mg,0%,0.0 mg,0%,0.0 mg,3%,120.8 mg,5%,2.7 g,0%,4.2 mg,9%,88.7 mcg,4%,0.1 mg,3%,0.1 mg,2%,0.3 mg,2%,1.4 mg,-3%,-0.2 mg,2%,0.3 mg
Candied Orange Chocolate Recipe (Orange Chocolates),serving,1 serving,,,,Value serving,% Daily Values,20,1%,11.0 mg,2%,4.8 g,0%,0.5 mg,2%,41 kcal,5%,2.86 g,0%,0.00 g,0%,0.6 mcg,2%,0.4 mg,4%,15.8 mg,2%,24.2 mg,1%,46.2 mg,1%,0.7 g,0%,0.8 mg,1%,6.2 mcg,1%,0.0 mg,0%,0.0 mg,1%,0.1 mg,0%,0.0 mg,0%,0.0 mg,0%,0.0 mg
Stuffed Patties ( Non- Fried Snacks ) Recipe,pattie,1 pattie,,,,Value pattie,% Daily Values,20,1%,13.2 mg,5%,13.1 g,0%,0.0 mg,4%,87 kcal,5%,3.18 g,6%,1.89 g,4%,12.3 mcg,3%,0.5 mg,0%,0.0 mg,0%,0.0 mg,3%,107.3 mg,3%,1.7 g,0%,5.1 mg,11%,113.6 mcg,5%,0.1 mg,1%,0.0 mg,5%,0.6 mg,11%,9.1 mg,-7%,-0.5 mg,1%,0.2 mg
Corn Sambhar ( South Indian Recipes ) Recipe,serving,1 serving,,,,Value serving,% Daily Values,20,1%,10.5 mg,8%,23.1 g,0%,0.0 mg,7%,131 kcal,7%,4.00 g,8%,2.49 g,8%,24.4 mcg,3%,0.6 mg,0%,0.0 mg,0%,0.0 mg,5%,183.0 mg,6%,3.5 g,0%,8.1 mg,5%,53.1 mcg,7%,0.1 mg,4%,0.1 mg,2%,0.3 mg,7%,5.6 mg,-10%,-0.8 mg,3%,0.4 mg
Peach Lettuce Salad Recipe with Pizza Strips Twist,serving,1 serving,,,,Value serving,% Daily Values,20,12%,122.9 mg,7%,19.3 g,3%,9.2 mg,19%,372 kcal,49%,29.56 g,4%,1.13 g,0%,0.0 mcg,11%,2.1 mg,0%,0.0 mg,0%,0.0 mg,11%,374.7 mg,11%,6.9 g,13%,256.8 mg,24%,244.5 mcg,1%,0.0 mg,1%,0.0 mg,5%,0.7 mg,13%,10.2 mg,-14%,-1.1 mg,0%,0.1 mg
