food_name,serving_type,serving_qty,serving_weight_grams,serving_weight_grams_numeric,serving_phrase,table_value_header,table_daily_value_header,nutrient_count,calcium_daily_value_pct,calcium_value,carbohydrates_daily_value_pct,carbohydrates_value,cholesterol_daily_value_pct,cholesterol_value,energy_daily_value_pct,energy_value,fat_daily_value_pct,fat_value,fiber_daily_value_pct,fiber_value,folic_acid_vitamin_b9_daily_value_pct,folic_acid_vitamin_b9_value,iron_daily_value_pct,iron_value,magnesium_daily_value_pct,magnesium_value,phosphorus_daily_value_pct,phosphorus_value,potassium_daily_value_pct,potassium_value,protein_daily_value_pct,protein_value,sodium_daily_value_pct,sodium_value,vitamin_a_daily_value_pct,vitamin_a_value,vitamin_b1_thiamine_daily_value_pct,vitamin_b1_thiamine_value,vitamin_b2_riboflavin_daily_value_pct,vitamin_b2_riboflavin_value,vitamin_b3_niacin_daily_value_pct,vitamin_b3_niacin_value,vitamin_c_daily_value_pct,vitamin_c_value,vitamin_e_daily_value_pct,vitamin_e_value,zinc_daily_value_pct,zinc_value
Lavash,lavash,8 grams,8 grams,8,Lavash,Value per lavash,% Daily Values,20,0%,3.2 mg,1%,2.5 g,0%,0.0 mg,1%,16 kcal,1%,0.55 g,1%,0.42 g,0%,1.4 mcg,1%,0.2 mg,1%,5.0 mg,1%,12.9 mg,0%,11.4 mg,1%,0.4 g,0%,0.7 mg,0%,0.2 mcg,1%,0.0 mg,0%,0.0 mg,1%,0.2 mg,0%,0.0 mg,1%,0.1 mg,1%,0.1 mg
Carrot And Moong Dal Pulao Recipe (Gajar Moong Dal Pulao),serving,1 serving,,,,Value serving,% Daily Values,20,3%,28.2 mg,14%,38.8 g,0%,0.0 mg,11%,211 kcal,7%,4.08 g,10%,2.93 g,5%,16.1 mcg,4%,0.8 mg,0%,0.0 mg,0%,0.0 mg,3%,116.6 mg,8%,4.8 g,0%,7.5 mg,30%,301.8 mcg,5%,0.1 mg,2%,0.0 mg,8%,1.1 mg,3%,2.2 mg,-11%,-0.8 mg,5%,0.8 mg
Quick Rice Kheer Recipe,cup,1 cup,,,,Value per cup,% Daily Values,20,60%,600.3 mg,20%,55.1 g,11%,32.0 mg,24%,485 kcal,31%,18.49 g,2%,0.57 g,6%,19.3 mcg,3%,0.6 mg,12%,50.6 mg,28%,282.4 mg,12%,424.5 mg,24%,14.5 g,6%,119.0 mg,43%,431.9 mcg,47%,0.7 mg,24%,0.5 mg,4%,0.6 mg,5%,3.6 mg,2%,0.1 mg,5%,0.8 mg
glass (165 ml) Green Indian Smoothie,glass,1 glass,,,glass (165 ml) Green Indian Smoothie,Value per glass,% Daily Values,20,20%,198.6 mg,5%,13.2 g,4%,12.0 mg,7%,131 kcal,9%,5.23 g,5%,1.57 g,17%,49.9 mcg,7%,1.3 mg,9%,39.1 mg,11%,111.3 mg,4%,153.1 mg,7%,4.1 g,2%,39.5 mg,226%,2260.1 mcg,3%,0.0 mg,8%,0.2 mg,2%,0.3 mg,21%,17.0 mg,10%,0.7 mg,1%,0.1 mg
Oata Khakhra,mini khakhra,15 grams,15 grams,15,Oata Khakhra,Value mini khakhra,% Daily Values,20,1%,7.4 mg,2%,6.1 g,0%,0.0 mg,3%,51 kcal,4%,2.54 g,3%,1.04 g,1%,3.9 mcg,2%,0.4 mg,3%,13.8 mg,3%,32.8 mg,1%,31.9 mg,2%,1.2 g,0%,1.1 mg,2%,19.1 mcg,4%,0.1 mg,1%,0.0 mg,2%,0.3 mg,0%,0.0 mg,1%,0.0 mg,2%,0.3 mg
tablespoon of Red Garlic Chutney,tbsp,1 tbsp,,,tablespoon of Red Garlic Chutney,Value per tbsp,% Daily Values,20,2%,16.1 mg,7%,18.8 g,0%,0.0 mg,26%,516 kcal,78%,46.65 g,47%,14.23 g,8%,22.8 mcg,10%,2.0 mg,8%,35.3 mg,25%,254.3 mg,13%,439.1 mg,9%,5.5 g,1%,22.5 mg,5%,45.5 mcg,6%,0.1 mg,7%,0.1 mg,6%,0.9 mg,6%,5.0 mg,3%,0.2 mg,7%,1.2 mg
Masala Paneer Naan Recipe (Indian Paneer Butter Masala Naan),naan,1 naan,,,,Value per naan,% Daily Values,20,23%,225.2 mg,15%,41.7 g,4%,11.5 mg,16%,325 kcal,21%,12.84 g,1%,0.36 g,1%,3.3 mcg,8%,1.6 mg,8%,36.4 mg,20%,201.3 mg,3%,98.6 mg,18%,10.9 g,10%,196.8 mg,34%,342.5 mcg,7%,0.1 mg,4%,0.1 mg,9%,1.3 mg,5%,4.1 mg,1%,0.1 mg,2%,0.4 mg
Dahi Bhel Recipe (Dahi Papdi Bhel),serving,1 serving,,,,Value serving,% Daily Values,20,28%,281.2 mg,94%,257.4 g,2%,5.4 mg,60%,1194 kcal,19%,11.64 g,38%,11.28 g,12%,35.9 mcg,83%,15.8 mg,562%,2472.9 mg,31%,305.4 mg,61%,2128.4 mg,20%,12.0 g,12%,245.0 mg,2455%,24554.7 mcg,61%,0.9 mg,45%,0.9 mg,64%,9.0 mg,188%,150.1 mg,1%,0.1 mg,20%,3.5 mg
Singapore Fried Rice Recipe (Singapore Fried Rice),serving,1 serving,,,,Value serving,% Daily Values,20,6%,58.2 mg,34%,93.3 g,0%,0.0 mg,34%,686 kcal,51%,30.51 g,22%,6.62 g,9%,26.7 mcg,11%,2.2 mg,29%,129.6 mg,30%,301.2 mg,9%,311.9 mg,16%,9.6 g,66%,1316.1 mg,74%,742.6 mcg,21%,0.3 mg,7%,0.1 mg,17%,2.3 mg,64%,51.5 mg,3%,0.2 mg,12%,2.0 mg
serving (200 grams) of Gobi Matar sabzi,serving,1 serving,200 grams,200,serving (200 grams) of Gobi Matar sabzi,Value serving,% Daily Values,20,3%,34.6 mg,4%,11.8 g,0%,0.0 mg,12%,242 kcal,33%,19.78 g,20%,5.90 g,8%,23.0 mcg,7%,1.4 mg,7%,30.7 mg,11%,107.6 mg,4%,156.6 mg,7%,4.3 g,1%,18.4 mg,43%,432.7 mcg,10%,0.1 mg,3%,0.1 mg,6%,0.9 mg,31%,24.5 mg,2%,0.2 mg,2%,0.4 mg
tablespoon of Dry Garlic Chutney,tbsp,1 tbsp,,,tablespoon of Dry Garlic Chutney,Value per tbsp,% Daily Values,20,11%,105.6 mg,5%,14.9 g,0%,0.0 mg,20%,398 kcal,58%,35.02 g,14%,4.08 g,15%,45.1 mcg,13%,2.4 mg,3%,13.0 mg,11%,107.5 mg,6%,206.4 mg,8%,5.0 g,0%,4.5 mg,18%,180.0 mcg,10%,0.1 mg,6%,0.1 mg,7%,1.0 mg,10%,7.8 mg,1%,0.0 mg,2%,0.4 mg
Masala Vada,vada,30 grams,30 grams,30,Masala Vada,Value per vada,% Daily Values,20,1%,9.7 mg,3%,8.0 g,0%,0.0 mg,5%,99 kcal,11%,6.33 g,7%,1.96 g,6%,19.0 mcg,4%,0.7 mg,4%,17.3 mg,4%,43.8 mg,3%,96.2 mg,4%,2.7 g,0%,9.5 mg,9%,92.9 mcg,5%,0.1 mg,1%,0.0 mg,2%,0.3 mg,2%,1.3 mg,0%,0.0 mg,1%,0.2 mg
